,symbol
107,YEG
106,XDC
105,WSS
104,VUA
103,VNZ
102,VND
101,VLB
100,VKP
99,VIX
98,VIG
97,VGI
96,VFS
95,VDS
94,VCI
93,V15
92,USC
91,TVS
90,TVC
89,TVB
88,TNM
87,TH1
86,TDW
85,TDS
84,TCI
83,STL
82,STC
81,SSI
80,SJG
79,SHS
78,SGO
77,SFC
76,SDX
75,SDC
74,SDB
73,SD8
72,SBT
71,SBS
70,S96
69,S55
68,PX1
67,PVO
66,PVI
65,PTN
64,PSI
63,PSG
62,PHS
61,PEG
60,ORS
59,NVB
58,NTB
57,NHP
56,NDP
55,NDF
54,ND2
53,MCD
52,MBS
51,LHG
50,LCC
49,KTW
48,IVS
47,ICG
46,HPW
45,HHS
44,HGW
43,HGT
42,HEV
41,HCM
40,HBS
39,HBD
38,HAG
37,HAC
36,GTT
35,GTS
34,GPC
33,GLW
32,FTS
31,FHN
30,FBA
29,EVS
28,DTD
27,DSC
26,DLM
25,DDH
24,D11
23,CTS
22,CTN
21,CTA
20,CSI
19,CPI
18,CLW
17,CGV
16,CFM
15,BVS
14,BVB
13,BTN
12,BSI
11,BMS
10,BCO
9,B82
8,ASG
7,ART
6,APS
5,APG
4,AGR
3,AGE
2,ACS
1,ABW
0,AAS
