,Symbol,tax_code
0,A32,0300517896
1,AAA,0800373586
2,AAM,1800448811
3,AAT,2800222245
4,AAV,0800819038
5,ABB,0301412222
6,ABC,0101883619
7,ABI,38GP/KDBH
8,ABR,0312080709
9,ABS,3400382278
10,ABT,1300376365
11,ACB,0301452948
12,ACC,3700926112
13,ACE,1600669108
14,ACG,3700748131
15,ACL,1600680398
16,ACM,0100511368
17,ACS,0300584155
18,ACV,0311638525
19,ADC,0102365521
20,ADG,0102850165
21,ADP,0302066222
22,ADS,1000389853
23,AFX,1600194461
24,AG1,0304484232
25,AGF,1600583588
26,AGG,0311500196
27,AGM,1600230737
28,AGP,1600699279
29,AGX,0301042973
30,AIC,49GP/KDBH
31,ALT,0301420079
32,ALV,3300529819
33,AMC,2900859599
34,AMD,0102370070
35,AME,0100520683
36,AMP,
37,AMS,0200786983
38,AMV,3800237998
39,ANT,1600230014
40,ANV,1600168736
41,APC,3700480244
42,APF,4300321643
43,APH,0801210129
44,API,0102005769
45,APL,0102274810
46,APP,0101438047
47,APT,0300523755
48,ARM,0100107934
49,ASA,0500471991
50,ASG,0104960269
51,ASM,1600169024
52,ASP,0303224471
53,AST,0107007230
54,ATA,1600513044
55,ATB,4700145463
56,ATG,4100577172
57,ATS,0100830798
58,AVC,4000478435
59,AVF,1600720555
60,BAB,2900325526
61,BAF,0107795944
62,BAL,0200159453
63,BAX,3600667859
64,BBC,3600363970
65,BBH,0800208342
66,BBM,0600161270
67,BBS,0600312071
68,BBT,0300715584
69,BCA,0800286887
70,BCB,5701435907
71,BCC,2800232620
72,BCE,3700408992
73,BCF,1400371184
74,BCG,0311315789
75,BCM,3700145020
76,BCP,3700683163
77,BCV,4800130044
78,BDB,4100259437
79,BDG,3700769438
80,BDT,1400101396
81,BDW,4100258955
82,BED,0400465793
83,BEL,3600254548
84,BFC,0302975517
85,BGW,2400126106
86,BHA,5300240587
87,BHC,3600448180
88,BHG,5900188843
89,BHI,56GP/KDBH
90,BHK,0500293795
91,BHN,0101376672
92,BHP,0200153370
93,BIC,11GP/KDBH
94,BID,0100150619
95,BIG,0108045831
96,BII,3400555146
97,BIO,4200451832
98,BKC,4700149595
99,BKG,0106935814
100,BKH,0100103601
101,BLF,1900253340
102,BLI,0301458065
103,BLN,0106953041
104,BLT,4100259042
105,BLW,1900605680
106,BMC,4100390008
107,BMD,3400861721
108,BMF,3600661303
109,BMG,0301886832
110,BMI,27GP/KDBH
111,BMJ,3700927878
112,BMN,1500342370
113,BMP,0301464823
114,BMV,0107151097
115,BNA,0105950129
116,BNW,2300108311
117,BOT,1001045855
118,BPC,2800508928
119,BQB,3100301045
120,BRC,0301150295
121,BRR,3500103432
122,BRS,3500100167
123,BSA,6000884487
124,BSC,0305246978
125,BSD,2600114002
126,BSG,0300478044
127,BSH,0102314051
128,BSL,2900783332
129,BSP,2600393941
130,BSQ,4300338460
131,BSR,4300378569
132,BST,3400393632
133,BT1,0100101611
134,BT6,3700364079
135,BTB,1000317707
