Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"3,249,517,389,758","2,142,716,548,893"
I. Tiền và các khoản tương đương tiền,110,,"610,736,511,767","509,577,636,533"
1. Tiền,111,,"147,454,987,221","120,809,634,969"
2. Các khoản tương đương tiền,112,,"463,281,524,546","388,768,001,564"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"406,539,699,602","50,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"406,539,699,602","50,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"1,216,552,465,560","961,381,022,420"
1. Phải thu ngắn hạn của khách hàng,131,,"544,194,091,851","417,516,053,153"
2. Trả trước cho người bán ngắn hạn,132,,"303,432,089,790","325,870,456,358"
3. Phải thu nội bộ ngắn hạn,133,,,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"245,737,603,169","129,729,000,000"
6. Phải thu ngắn hạn khác,136,,"123,188,680,750","88,265,512,909"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,,0
IV. Hàng tồn kho,140,,"900,976,173,096","536,681,725,193"
1. Hàng tồn kho,141,,"900,976,173,096","536,681,725,193"
2. Dự phòng giảm giá hàng tồn kho,149,,,0
V.Tài sản ngắn hạn khác,150,,"114,712,539,733","85,076,164,747"
1. Chi phí trả trước ngắn hạn,151,,"25,236,202,240","18,897,599,281"
2. Thuế GTGT được khấu trừ,152,,"89,474,769,832","65,917,582,112"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"1,567,661","260,983,354"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"3,240,181,906,882","2,433,440,579,906"
I. Các khoản phải thu dài hạn,210,,"86,800,000",0
1. Phải thu dài hạn của khách hàng,211,,,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,,0
4. Phải thu nội bộ dài hạn,214,,,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"86,800,000",0
7. Dự phòng phải thu dài hạn khó đòi,219,,,0
II.Tài sản cố định,220,,"2,257,110,869,796","2,299,486,571,152"
1. Tài sản cố định hữu hình,221,,"2,170,987,774,430","2,202,974,097,676"
- Nguyên giá,222,,"2,792,960,549,574","2,707,435,817,410"
- Giá trị hao mòn lũy kế,223,,"-621,972,775,144","-504,461,719,734"
2. Tài sản cố định thuê tài chính,224,,,0
- Nguyên giá,225,,,0
- Giá trị hao mòn lũy kế,226,,,0
3. Tài sản cố định vô hình,227,,"86,123,095,366","96,512,473,476"
- Nguyên giá,228,,"94,540,558,865","103,445,820,433"
- Giá trị hao mòn lũy kế,229,,"-8,417,463,499","-6,933,346,957"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,,0
- Giá trị hao mòn lũy kế,232,,,0
IV. Tài sản dở dang dài hạn,240,,"890,977,272,067","98,121,103,897"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"890,977,272,067","98,121,103,897"
V. Đầu tư tài chính dài hạn,250,,"40,000,000,000",0
1. Đầu tư vào công ty con,251,,,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"40,000,000,000",0
VI. Tài sản dài hạn khác,260,,"52,006,965,019","35,832,904,857"
1. Chi phí trả trước dài hạn,261,,"51,938,380,273","35,612,756,095"
2. Tài sản thuế thu nhập hoãn lại,262,,"68,584,746","220,148,762"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,,0
5. Lợi thế thương mại,269,,,0
TỔNG CỘNG TÀI SẢN,270,,"6,489,699,296,640","4,576,157,128,799"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"3,600,336,216,973","2,951,186,840,177"
I. Nợ ngắn hạn,310,,"2,826,962,893,668","1,990,803,708,402"
1. Phải trả người bán ngắn hạn,311,,"575,554,034,361","519,298,194,029"
2. Người mua trả tiền trước ngắn hạn,312,,"32,836,828,451","17,127,077,695"
3. Thuế và các khoản phải nộp nhà nước,313,,"9,190,987,266","14,232,960,650"
4. Phải trả người lao động,314,,"9,482,231,515","13,308,406,810"
