Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"5,692,503,386,811","5,354,610,509,760"
I. Tiền và các khoản tương đương tiền,110,,"1,018,940,128,519","1,988,170,740,182"
1. Tiền,111,,"612,811,234,102","1,156,983,447,299"
2. Các khoản tương đương tiền,112,,"406,128,894,417","831,187,292,883"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"461,156,000,000","436,156,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"461,156,000,000","436,156,000,000"
III. Các khoản phải thu ngắn hạn,130,,"2,139,370,739,487","1,795,468,441,466"
1. Phải thu ngắn hạn của khách hàng,131,,"1,534,639,911,702","1,136,560,751,303"
2. Trả trước cho người bán ngắn hạn,132,,"294,306,624,209","369,721,515,275"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"202,750,850,000","84,906,400,000"
6. Phải thu ngắn hạn khác,136,,"118,499,553,356","215,105,974,668"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-10,826,199,780","-10,826,199,780"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"1,870,627,798,604","997,384,835,429"
1. Hàng tồn kho,141,,"1,885,645,602,576","997,384,835,429"
2. Dự phòng giảm giá hàng tồn kho,149,,"-15,017,803,972",0
V.Tài sản ngắn hạn khác,150,,"202,408,720,201","137,430,492,683"
1. Chi phí trả trước ngắn hạn,151,,"21,319,751,410","25,561,564,271"
2. Thuế GTGT được khấu trừ,152,,"181,088,968,791","111,868,928,412"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"5,235,854,522,242","4,654,916,125,531"
I. Các khoản phải thu dài hạn,210,,"101,925,324,158","278,966,433,205"
1. Phải thu dài hạn của khách hàng,211,,"69,460,800,930","217,828,798,677"
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"16,537,950,000","44,699,588,400"
6. Phải thu dài hạn khác,216,,"15,926,573,228","16,438,046,128"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"1,993,981,354,776","2,100,839,611,952"
1. Tài sản cố định hữu hình,221,,"1,915,750,385,370","2,022,419,512,484"
- Nguyên giá,222,,"3,495,514,143,417","3,482,794,904,334"
- Giá trị hao mòn lũy kế,223,,"-1,579,763,758,047","-1,460,375,391,850"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"78,230,969,406","78,420,099,468"
- Nguyên giá,228,,"98,909,557,194","97,500,446,394"
- Giá trị hao mòn lũy kế,229,,"-20,678,587,788","-19,080,346,926"
III. Bất động sản đầu tư,230,,"509,061,137,434","526,347,470,213"
- Nguyên giá,231,,"592,031,360,148","589,841,711,552"
- Giá trị hao mòn lũy kế,232,,"-82,970,222,714","-63,494,241,339"
IV. Tài sản dở dang dài hạn,240,,"934,946,474,469","853,176,364,818"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"934,946,474,469","853,176,364,818"
V. Đầu tư tài chính dài hạn,250,,"1,388,019,487,262","569,909,270,071"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"1,174,267,007,810","521,914,270,071"
3. Đầu tư góp vốn vào đơn vị khác,253,,"183,752,479,452","17,995,000,000"
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"30,000,000,000","30,000,000,000"
VI. Tài sản dài hạn khác,260,,"307,920,744,143","325,676,975,272"
1. Chi phí trả trước dài hạn,261,,"269,073,386,524","287,014,288,216"
2. Tài sản thuế thu nhập hoãn lại,262,,"4,337,223,740","2,112,010,295"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"34,510,133,879","36,550,676,761"
TỔNG CỘNG TÀI SẢN,270,,"10,928,357,909,053","10,009,526,635,291"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"5,338,776,782,033","4,555,144,898,241"
I. Nợ ngắn hạn,310,,"4,002,483,814,408","3,282,339,419,557"
1. Phải trả người bán ngắn hạn,311,,"979,407,982,524","609,834,689,481"
2. Người mua trả tiền trước ngắn hạn,312,,"139,711,640,962","147,979,129,414"
3. Thuế và các khoản phải nộp nhà nước,313,,"29,436,223,748","39,202,557,924"
4. Phải trả người lao động,314,,"27,713,556,911","44,367,894,217"
5. Chi phí phải trả ngắn hạn,315,,"18,703,434,834","21,534,971,150"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"86,538,235,165","66,065,977,511"
9. Phải trả ngắn hạn khác,319,,"281,661,263,311","162,955,107,399"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"2,390,694,768,419","2,183,181,098,128"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"48,616,708,534","7,217,994,333"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"1,336,292,967,625","1,272,805,478,684"
1. Phải trả người bán dài hạn,331,,"637,173,380","887,312,160"
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"166,272,933,049","89,443,518,069"
7. Phải trả dài hạn khác,337,,"9,740,653,826","6,476,802,623"
8. Vay và nợ thuê tài chính dài hạn,338,,"1,159,642,207,370","1,175,997,845,832"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"5,589,581,127,020","5,454,381,737,050"
I. Vốn chủ sở hữu,410,,"5,589,581,127,020","5,454,381,737,050"
1. Vốn góp của chủ sở hữu,411,,"3,264,344,960,000","3,264,344,960,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"3,264,344,960,000","3,264,344,960,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"712,591,123,817","712,591,123,817"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,"44,744,930,000","26,544,930,000"
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,"-59,520,219","-9,142,474,446"
8. Quỹ đầu tư phát triển,418,,"80,481,616,464","80,481,616,464"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"13,177,404,323","13,177,404,323"
11. Lợi nhuận sau thuế chưa phân phối,421,,"755,522,754,345","706,493,529,920"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"630,431,349,491","374,404,489,280"
- LNST chưa phân phối kỳ này,421b,,"125,091,404,854","332,089,040,640"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"718,777,858,290","659,890,646,972"
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"10,928,357,909,053","10,009,526,635,291"
