Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"5,748,923,127,453","6,409,854,905,601",,
2. Các khoản giảm trừ doanh thu,02,,"2,611,714,298","1,828,659,799",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"5,746,311,413,155","6,408,026,245,802",,
4. Giá vốn hàng bán,11,,"5,056,146,917,051","5,926,846,588,869",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"690,164,496,104","481,179,656,933",,
6. Doanh thu hoạt động tài chính,21,,"145,955,641,190","108,419,274,528",,
7. Chi phí tài chính,22,,"93,730,712,237","115,385,999,026",,
- Trong đó: Chi phí lãi vay,23,,"75,830,570,903","91,742,027,183",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"45,183,638,537","18,135,072,248",,
9. Chi phí bán hàng,25,,"296,243,689,488","228,374,557,465",,
10. Chi phí quản lý doanh nghiệp,26,,"149,937,343,774","125,784,778,579",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"341,392,030,332","138,188,668,639",,
12. Thu nhập khác,31,,"5,533,967,016","7,820,650,765",,
13. Chi phí khác,32,,"1,760,087,511","2,748,713,444",,
14. Lợi nhuận khác(40=31-32),40,,"3,773,879,505","5,071,937,321",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"345,165,909,837","143,260,605,960",,
16. Chi phí thuế TNDN hiện hành,51,,"59,946,368,542","29,506,247,453",,
17. Chi phí thuế TNDN hoãn lại,52,,"3,411,270,685","87,771,907",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"281,808,270,610","113,666,586,600",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"270,594,432,250","96,170,592,914",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"11,213,838,360","17,495,993,686",,
21. Lãi cơ bản trên cổ phiếu(*),70,,708,216,,
22. Lãi suy giảm trên cổ phiếu (*),71,,708,216,,
