Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"314,603,034,985","143,260,605,960"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"177,798,360,694","158,832,951,506"
- Các khoản dự phòng,03,,"3,571,268,387","-47,079,744,681"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-19,436,035,413","7,776,511,050"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-74,721,182,033","-98,221,787,686"
- Chi phí lãi vay,06,,"79,849,463,348","95,838,719,663"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"481,664,909,968","260,407,255,812"
"- Tăng, giảm các khoản phải thu",09,,"-108,120,188,447","157,312,208,577"
"- Tăng, giảm hàng tồn kho",10,,"-108,484,951,836","311,915,299,625"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"359,083,074,037","-20,496,400,466"
"- Tăng, giảm chi phí trả trước",12,,"-19,860,609,488","-9,662,252,165"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-85,890,922,570","-101,451,743,620"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-28,577,271,824","-3,347,786,248"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-22,508,135,147","-20,827,717,810"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"467,305,904,693","573,848,863,705"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-394,173,708,011","-19,892,279,146"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"20,337,300,033","7,842,717,818"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-2,245,868,250,000","-1,705,759,369,636"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"1,701,078,460,610","857,025,100,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-33,120,000,000","-121,145,861,403"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"27,700,000,000",0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"114,982,804,307","90,679,528,036"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-809,063,393,061","-891,250,164,331"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"2,923,082,821,661","3,083,175,979,584"
4.Tiền chi trả nợ gốc vay,34,,"-2,859,790,134,931","-3,047,243,897,944"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-10,532,850,000","-104,000,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"52,759,836,730","35,828,081,640"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-288,997,651,638","-281,573,218,986"
Tiền và tương đương tiền đầu kỳ,60,,"2,435,058,282,483","1,642,978,052,440"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"42,033,359,870","6,091,381,916"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,188,093,990,715","1,367,496,215,370"
