Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"6,409,854,905,601","8,606,587,371,128",,
2. Các khoản giảm trừ doanh thu,02,,"1,828,659,799","4,042,784,489",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"6,408,026,245,802","8,602,544,586,639",,
4. Giá vốn hàng bán,11,,"5,926,846,588,869","7,865,036,320,406",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"481,179,656,933","737,508,266,233",,
6. Doanh thu hoạt động tài chính,21,,"108,419,274,528","93,777,033,912",,
7. Chi phí tài chính,22,,"115,385,999,026","110,086,790,725",,
- Trong đó: Chi phí lãi vay,23,,"91,742,027,183","75,756,440,960",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"18,135,072,248","24,756,967,810",,
9. Chi phí bán hàng,25,,"228,374,557,465","392,595,794,497",,
10. Chi phí quản lý doanh nghiệp,26,,"125,784,778,579","114,892,553,659",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"138,188,668,639","238,467,129,074",,
12. Thu nhập khác,31,,"7,820,650,765","3,158,104,503",,
13. Chi phí khác,32,,"2,748,713,444","4,200,382,134",,
14. Lợi nhuận khác(40=31-32),40,,"5,071,937,321","-1,042,277,631",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"143,260,605,960","237,424,851,443",,
16. Chi phí thuế TNDN hiện hành,51,,"29,506,247,453","49,954,854,035",,
17. Chi phí thuế TNDN hoãn lại,52,,"87,771,907","-2,225,213,446",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"113,666,586,600","189,695,210,854",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"96,170,592,914","173,511,138,874",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"17,495,993,686","16,184,071,980",,
21. Lãi cơ bản trên cổ phiếu(*),70,,252,503,,
22. Lãi suy giảm trên cổ phiếu (*),71,,252,503,,
