Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"2,964,878,299,224","3,617,596,915,511","2,964,878,299,224","3,617,596,915,511"
2. Các khoản giảm trừ doanh thu,02,,"1,046,971,601","883,996,058","1,046,971,601","883,996,058"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"2,963,831,327,623","3,616,712,919,453","2,963,831,327,623","3,616,712,919,453"
4. Giá vốn hàng bán,11,,"2,632,000,466,517","3,370,542,435,514","2,632,000,466,517","3,370,542,435,514"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"331,830,861,106","246,170,483,939","331,830,861,106","246,170,483,939"
6. Doanh thu hoạt động tài chính,21,,"47,863,280,080","47,003,239,324","47,863,280,080","47,003,239,324"
7. Chi phí tài chính,22,,"39,801,387,126","56,006,994,655","39,801,387,126","56,006,994,655"
- Trong đó: Chi phí lãi vay,23,,"35,048,921,226","45,134,977,429","35,048,921,226","45,134,977,429"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"23,727,758,055","14,564,670,455","23,727,758,055","14,564,670,455"
9. Chi phí bán hàng,25,,"123,010,462,870","109,390,083,352","123,010,462,870","109,390,083,352"
10. Chi phí quản lý doanh nghiệp,26,,"73,583,410,041","66,043,720,520","73,583,410,041","66,043,720,520"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"167,026,639,204","76,297,595,191","167,026,639,204","76,297,595,191"
12. Thu nhập khác,31,,"1,119,155,732","3,180,093,849","1,119,155,732","3,180,093,849"
13. Chi phí khác,32,,"214,707,375","233,757,804","214,707,375","233,757,804"
14. Lợi nhuận khác(40=31-32),40,,"904,448,357","2,946,336,045","904,448,357","2,946,336,045"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"167,931,087,561","79,243,931,236","167,931,087,561","79,243,931,236"
16. Chi phí thuế TNDN hiện hành,51,,"26,560,017,429","13,692,553,202","26,560,017,429","13,692,553,202"
17. Chi phí thuế TNDN hoãn lại,52,,"-2,523,094,307","1,754,298,152","-2,523,094,307","1,754,298,152"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"143,894,164,439","63,797,079,882","143,894,164,439","63,797,079,882"
19. Lợi nhuận sau thuế công ty mẹ,61,,"134,706,559,842","53,895,480,338","134,706,559,842","53,895,480,338"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"9,187,604,597","9,901,599,544","9,187,604,597","9,901,599,544"
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
