Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"12,628,191,473,898","15,314,698,238,896",,
2. Các khoản giảm trừ doanh thu,02,,"6,677,328,951","24,401,165,809",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"12,621,514,144,947","15,290,297,073,087",,
4. Giá vốn hàng bán,11,,"11,512,820,822,177","14,204,057,189,374",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"1,108,693,322,770","1,086,239,883,713",,
6. Doanh thu hoạt động tài chính,21,,"242,681,115,061","214,482,862,553",,
7. Chi phí tài chính,22,,"239,294,342,399","257,402,705,272",,
- Trong đó: Chi phí lãi vay,23,,"190,476,045,845","173,679,772,675",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"52,941,132,765","57,678,939,569",,
9. Chi phí bán hàng,25,,"511,055,878,824","666,097,260,650",,
10. Chi phí quản lý doanh nghiệp,26,,"285,281,847,427","247,607,549,844",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"368,683,501,946","187,294,170,069",,
12. Thu nhập khác,31,,"16,181,309,264","8,605,911,082",,
13. Chi phí khác,32,,"6,969,256,261","9,833,969,448",,
14. Lợi nhuận khác(40=31-32),40,,"9,212,053,003","-1,228,058,366",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"377,895,554,949","186,066,111,703",,
16. Chi phí thuế TNDN hiện hành,51,,"77,937,805,250","72,085,473,962",,
17. Chi phí thuế TNDN hoãn lại,52,,"-9,236,073,435","-3,310,630,196",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"309,193,823,134","117,291,267,937",,
19. Lợi nhuận sau thuế công ty mẹ,61,,"289,410,548,684","152,599,331,716",,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"19,783,274,450","-35,308,063,779",,
21. Lãi cơ bản trên cổ phiếu(*),70,,757,408,,
22. Lãi suy giảm trên cổ phiếu (*),71,,757,408,,
