Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"5,504,717,598,034","5,681,580,248,153"
I. Tiền và các khoản tương đương tiền,110,,"2,017,366,509,375","2,435,058,282,483"
1. Tiền,111,,"1,179,220,359,882","1,298,774,919,831"
2. Các khoản tương đương tiền,112,,"838,146,149,493","1,136,283,362,652"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"197,451,050,000","1,079,609,986,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"197,451,050,000","1,079,609,986,000"
III. Các khoản phải thu ngắn hạn,130,,"2,530,441,102,546","1,204,888,211,832"
1. Phải thu ngắn hạn của khách hàng,131,,"938,088,396,293","687,000,073,407"
2. Trả trước cho người bán ngắn hạn,132,,"698,841,814,064","342,180,956,924"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"759,308,754,048","62,876,744,806"
6. Phải thu ngắn hạn khác,136,,"159,318,122,716","137,946,421,270"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-25,115,984,575","-25,115,984,575"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"604,260,563,714","781,680,229,197"
1. Hàng tồn kho,141,,"605,617,802,847","783,390,158,893"
2. Dự phòng giảm giá hàng tồn kho,149,,"-1,357,239,133","-1,709,929,696"
V.Tài sản ngắn hạn khác,150,,"155,198,372,399","180,343,538,641"
1. Chi phí trả trước ngắn hạn,151,,"21,079,411,733","13,138,650,715"
2. Thuế GTGT được khấu trừ,152,,"133,102,604,523","164,269,427,413"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"1,016,356,143","2,935,460,513"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"6,181,900,412,655","5,901,865,257,763"
I. Các khoản phải thu dài hạn,210,,"405,525,130,260","82,297,269,278"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"398,934,150,000","77,154,150,000"
6. Phải thu dài hạn khác,216,,"6,590,980,260","5,143,119,278"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"1,964,597,358,066","2,012,981,059,510"
1. Tài sản cố định hữu hình,221,,"1,817,949,962,512","1,863,866,579,072"
- Nguyên giá,222,,"3,844,354,566,594","3,825,525,516,174"
- Giá trị hao mòn lũy kế,223,,"-2,026,404,604,082","-1,961,658,937,102"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"146,647,395,554","149,114,480,438"
- Nguyên giá,228,,"175,184,393,371","176,314,890,302"
- Giá trị hao mòn lũy kế,229,,"-28,536,997,817","-27,200,409,864"
III. Bất động sản đầu tư,230,,"1,358,591,960,902","1,317,994,843,520"
- Nguyên giá,231,,"1,523,550,863,332","1,467,632,350,176"
- Giá trị hao mòn lũy kế,232,,"-164,958,902,430","-149,637,506,656"
IV. Tài sản dở dang dài hạn,240,,"220,252,482,183","296,545,648,857"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"220,252,482,183","296,545,648,857"
V. Đầu tư tài chính dài hạn,250,,"1,353,097,235,679","1,328,109,477,624"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"1,353,097,235,679","1,328,109,477,624"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"879,836,245,565","863,936,958,974"
1. Chi phí trả trước dài hạn,261,,"816,694,523,674","801,659,156,249"
2. Tài sản thuế thu nhập hoãn lại,262,,"16,873,995,303","14,479,007,591"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"46,267,726,588","47,798,795,134"
TỔNG CỘNG TÀI SẢN,270,,"11,686,618,010,689","11,583,445,505,916"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"5,623,021,220,528","5,619,574,565,686"
I. Nợ ngắn hạn,310,,"3,411,149,443,389","3,737,041,187,457"
1. Phải trả người bán ngắn hạn,311,,"547,737,070,018","517,381,867,012"
2. Người mua trả tiền trước ngắn hạn,312,,"115,433,010,516","119,139,197,505"
3. Thuế và các khoản phải nộp nhà nước,313,,"30,580,660,272","17,885,562,142"
4. Phải trả người lao động,314,,"34,524,968,123","35,061,256,954"
5. Chi phí phải trả ngắn hạn,315,,"106,887,831,400","133,779,599,628"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"106,675,584,443","116,182,822,055"
9. Phải trả ngắn hạn khác,319,,"84,445,584,311","168,620,540,558"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"2,382,591,097,052","2,625,493,361,179"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"2,273,637,254","3,496,980,424"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"2,211,871,777,139","1,882,533,378,229"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
