Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"5,623,485,000,285","5,354,610,509,760"
I. Tiền và các khoản tương đương tiền,110,,"1,655,456,757,815","1,988,170,740,182"
1. Tiền,111,,"1,228,607,395,155","1,156,983,447,299"
2. Các khoản tương đương tiền,112,,"426,849,362,660","831,187,292,883"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"436,156,000,000","436,156,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"436,156,000,000","436,156,000,000"
III. Các khoản phải thu ngắn hạn,130,,"1,551,890,327,952","1,795,468,441,466"
1. Phải thu ngắn hạn của khách hàng,131,,"1,000,211,108,549","1,136,560,751,303"
2. Trả trước cho người bán ngắn hạn,132,,"256,752,902,117","369,721,515,275"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"176,995,600,000","84,906,400,000"
6. Phải thu ngắn hạn khác,136,,"131,279,636,161","215,105,974,668"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-13,348,918,875","-10,826,199,780"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"1,776,319,126,153","997,384,835,429"
1. Hàng tồn kho,141,,"1,846,699,548,793","997,384,835,429"
2. Dự phòng giảm giá hàng tồn kho,149,,"-70,380,422,640",0
V.Tài sản ngắn hạn khác,150,,"203,662,788,365","137,430,492,683"
1. Chi phí trả trước ngắn hạn,151,,"10,079,638,639","25,561,564,271"
2. Thuế GTGT được khấu trừ,152,,"184,059,512,351","111,868,928,412"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"9,523,637,375",0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"5,157,831,431,634","4,654,916,125,531"
I. Các khoản phải thu dài hạn,210,,"86,913,682,992","278,966,433,205"
1. Phải thu dài hạn của khách hàng,211,,"70,237,896,352","217,828,798,677"
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"940,160,000","44,699,588,400"
6. Phải thu dài hạn khác,216,,"15,735,626,640","16,438,046,128"
