,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý 3 năm 2024,28/10/2024 00:00:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý 3 năm 2024_28_10_2024 00_00_00
1,2,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Công ty mẹ Quý 3 năm 2024,28/10/2024 00:00:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Công ty mẹ Quý 3 năm 2024_28_10_2024 00_00_00
2,3,Báo cáo tài chính Hợp nhất - Bán niên,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Bán niên năm 2024 được soát xét,29/08/2024 00:00:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Bán niên,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Bán niên năm 2024 được soát xét_29_08_2024 00_00_00
3,4,Báo cáo tài chính Mẹ - Bán niên,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Bán niên 2024 được soát xét,29/08/2024 00:00:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Bán niên,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Bán niên 2024 được soát xét_29_08_2024 00_00_00
4,5,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Quý II năm 2024,29/07/2024 16:25:25,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Quý II năm 2024_29_07_2024 16_25_25
5,6,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý II năm 2024,29/07/2024 16:17:27,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý II năm 2024_29_07_2024 16_17_27
6,7,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý I năm 2024,26/04/2024 15:06:00,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý I năm 2024_26_04_2024 15_06_00
7,8,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Quý I năm 2024,26/04/2024 14:56:18,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Quý I năm 2024_26_04_2024 14_56_18
8,9,Báo cáo tài chính Mẹ - Năm 2023,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng năm 2023 kiểm toán,29/03/2024 22:47:13,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Năm 2023,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng năm 2023 kiểm toán_29_03_2024 22_47_13
9,10,Báo cáo tài chính hợp nhất năm 2023,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất năm 2023 kiểm toán,28/03/2024 16:12:32,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2023,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất năm 2023 kiểm toán_28_03_2024 16_12_32
10,11,Báo cáo tài chính Hợp nhất - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý 4 năm 2023,29/01/2024 16:50:54,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý 4 năm 2023_29_01_2024 16_50_54
11,12,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Quý 4 năm 2023,29/01/2024 16:35:20,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Quý 4 năm 2023_29_01_2024 16_35_20
12,13,Báo cáo tài chính hợp nhất quý 3/ năm 2023,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Hợp nhất Quý 3 năm 2023,30/10/2023 14:00:15,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 3/ năm 2023,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Hợp nhất Quý 3 năm 2023_30_10_2023 14_00_15
13,14,Báo cáo tài chính Mẹ - Quý,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Quý 3 năm 2021,30/10/2023 13:51:43,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Quý,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Quý 3 năm 2021_30_10_2023 13_51_43
14,15,Báo cáo tài chính Mẹ - Bán niên năm 2023,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh: Báo cáo tài chính Riêng Bán niên soát xét năm 2023,29/08/2023 15:53:43,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ - Bán niên năm 2023,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh_ Báo cáo tài chính Riêng Bán niên soát xét năm 2023_29_08_2023 15_53_43
