Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"-2,071,987,027","1,349,275,724"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"513,848,812","765,124,130"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-54,235,834","-1,570,308,926"
- Chi phí lãi vay,06,,0,0
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"-1,612,374,049","544,090,928"
"- Tăng, giảm các khoản phải thu",09,,"1,212,287,507","275,085,061"
"- Tăng, giảm hàng tồn kho",10,,"-207,866,506","-5,975,018,136"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"1,392,422,326","1,260,082,828"
"- Tăng, giảm chi phí trả trước",12,,"60,000,000","60,000,000"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,0,0
- Thuế thu nhập doanh nghiệp đã nộp,15,,0,"-919,247,332"
- Tiền thu khác từ hoạt động kinh doanh,16,,"19,000,000","24,000,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-1,340,990,704","-172,200,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-477,521,426","-4,903,206,651"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-103,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,"-12,000,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"5,000,000,000","49,000,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"182,455,012","2,569,999,337"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"5,182,455,012","39,466,999,337"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,0,0
4.Tiền chi trả nợ gốc vay,34,,0,0
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,0,0
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"4,704,933,586","34,563,792,686"
Tiền và tương đương tiền đầu kỳ,60,,"22,888,984,646","10,250,896,174"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"27,593,918,232","44,814,688,860"
