Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"185,331,960,146","196,300,575,712"
I. Tiền và các khoản tương đương tiền,110,,"11,098,787,731","13,656,304,758"
1. Tiền,111,,"11,098,787,731","3,656,304,758"
2. Các khoản tương đương tiền,112,,0,"10,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"72,259,517,920","76,447,726,000"
1. Chứng khoán kinh doanh,121,,"7,636,426,010","6,635,226,000"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-1,376,908,090","-1,187,500,000"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"66,000,000,000","71,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"31,109,921,341","54,680,963,617"
1. Phải thu ngắn hạn của khách hàng,131,,"25,389,179,361","16,723,581,434"
2. Trả trước cho người bán ngắn hạn,132,,"189,510,000","1,860,247,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"210,000,000","560,000,000"
6. Phải thu ngắn hạn khác,136,,"5,321,231,980","35,663,622,883"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,"-126,487,700"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"65,189,400,109","47,300,323,400"
1. Hàng tồn kho,141,,"65,189,400,109","47,300,323,400"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"5,674,333,045","4,215,257,937"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"5,671,127,974","3,066,357,897"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"3,205,071","1,148,900,040"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"44,625,276,641","55,260,017,809"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"33,002,665,287","33,563,529,601"
1. Tài sản cố định hữu hình,221,,"11,120,370,858","11,045,473,708"
- Nguyên giá,222,,"85,338,715,035","82,131,333,000"
- Giá trị hao mòn lũy kế,223,,"-74,218,344,177","-71,085,859,292"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"21,882,294,429","22,518,055,893"
- Nguyên giá,228,,"27,837,973,495","27,837,973,495"
- Giá trị hao mòn lũy kế,229,,"-5,955,679,066","-5,319,917,602"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"98,007,312","128,101,708"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"98,007,312","128,101,708"
V. Đầu tư tài chính dài hạn,250,,"10,688,386,500","20,688,386,500"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"10,688,386,500","10,688,386,500"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,"10,000,000,000"
VI. Tài sản dài hạn khác,260,,"836,217,542","880,000,000"
1. Chi phí trả trước dài hạn,261,,"640,000,000","880,000,000"
2. Tài sản thuế thu nhập hoãn lại,262,,"196,217,542",0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"229,957,236,787","251,560,593,521"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"18,276,596,825","10,603,590,916"
I. Nợ ngắn hạn,310,,"15,241,596,825","7,538,694,580"
1. Phải trả người bán ngắn hạn,311,,"6,186,621,487","2,257,166,957"
2. Người mua trả tiền trước ngắn hạn,312,,"248,354,055","2,140,617,402"
3. Thuế và các khoản phải nộp nhà nước,313,,"397,562,466","3,050,480"
4. Phải trả người lao động,314,,"4,352,994,006","1,022,921,414"
5. Chi phí phải trả ngắn hạn,315,,"1,102,334,223","21,140,480"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"628,592,273","650,587,503"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"2,325,138,315","1,443,210,344"
13. Quỹ bình ổn giá,323,,0,0
