Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"8,454,634,972","7,689,709,417"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"2,260,664,577","2,056,239,827"
- Các khoản dự phòng,03,,"88,507,989","-126,487,700"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-104,126,365","-121,296,447"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-2,885,798,603","-3,309,287,466"
- Chi phí lãi vay,06,,0,0
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"7,813,882,570","6,188,877,631"
"- Tăng, giảm các khoản phải thu",09,,"9,549,718,656","2,200,640,716"
"- Tăng, giảm hàng tồn kho",10,,"-15,101,343,085","20,921,613,371"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"5,926,213,638","6,404,454,301"
"- Tăng, giảm chi phí trả trước",12,,"120,000,000","120,000,000"
"- Tăng, giảm chứng khoán kinh doanh",13,,"18,090,011","266,080"
- Tiền lãi vay đã trả,14,,0,0
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-381,660,640",0
- Tiền thu khác từ hoạt động kinh doanh,16,,"154,465,000","44,000,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-393,870,000","-239,470,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"7,705,496,150","35,640,382,099"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-157,483,510","-2,380,500,327"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"227,272,727"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-62,450,000,000","-77,100,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"63,210,000,000","71,450,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"2,769,561,149","2,773,155,599"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"3,372,077,639","-5,030,072,001"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,"-2,293,000",0
3.Tiền thu từ đi vay,33,,0,0
4.Tiền chi trả nợ gốc vay,34,,0,0
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-2,410,710,300","-4,967,850,500"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-2,413,003,300","-4,967,850,500"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"8,664,570,489","25,642,459,598"
Tiền và tương đương tiền đầu kỳ,60,,"11,098,787,731","13,656,304,758"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"118,679,141","112,380,782"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"19,882,037,361","39,411,145,138"
