Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"55,737,417,046","29,978,120,725","55,737,417,046","29,978,120,725"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"55,737,417,046","29,978,120,725","55,737,417,046","29,978,120,725"
4. Giá vốn hàng bán,11,,"52,762,703,853","29,298,515,304","52,762,703,853","29,298,515,304"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"2,974,713,193","679,605,421","2,974,713,193","679,605,421"
6. Doanh thu hoạt động tài chính,21,,"293,731,068","204,789,405","293,731,068","204,789,405"
7. Chi phí tài chính,22,,"35,933,072","76,808,035","35,933,072","76,808,035"
- Trong đó: Chi phí lãi vay,23,,0,"46,081,660",0,"46,081,660"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"2,960,543,156","798,185,666","2,960,543,156","798,185,666"
10. Chi phí quản lý doanh nghiệp,26,,"1,504,583,463","1,708,112,524","1,504,583,463","1,708,112,524"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-1,232,615,430","-1,698,711,399","-1,232,615,430","-1,698,711,399"
12. Thu nhập khác,31,,"3,322,123,080","595,648,855","3,322,123,080","595,648,855"
13. Chi phí khác,32,,0,0,0,0
14. Lợi nhuận khác(40=31-32),40,,"3,322,123,080","595,648,855","3,322,123,080","595,648,855"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"2,089,507,650","-1,103,062,544","2,089,507,650","-1,103,062,544"
16. Chi phí thuế TNDN hiện hành,51,,0,0,0,0
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"2,089,507,650","-1,103,062,544","2,089,507,650","-1,103,062,544"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,200,-106,200,-106
22. Lãi suy giảm trên cổ phiếu (*),71,,200,-106,200,-106
