Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"176,835,262,568","180,897,439,215"
I. Tiền và các khoản tương đương tiền,110,,"38,547,900,243","10,250,896,174"
1. Tiền,111,,"18,547,900,243","10,250,896,174"
2. Các khoản tương đương tiền,112,,"20,000,000,000",0
II. Các khoản đầu tư tài chính ngắn hạn,120,,"24,134,959,920","53,134,959,920"
1. Chứng khoán kinh doanh,121,,"4,134,959,920","4,134,959,920"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"20,000,000,000","49,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"9,233,199,171","12,335,204,474"
1. Phải thu ngắn hạn của khách hàng,131,,"6,772,068,635","9,242,968,427"
2. Trả trước cho người bán ngắn hạn,132,,"100,500,180","60,000,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"3,548,687,856","4,220,293,547"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-1,188,057,500","-1,188,057,500"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"100,459,366,342","101,871,951,690"
1. Hàng tồn kho,141,,"100,459,366,342","101,871,951,690"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"4,459,836,892","3,304,426,957"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"4,459,836,892","3,304,426,957"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"36,178,622,692","37,682,103,009"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"24,730,236,192","26,113,716,509"
1. Tài sản cố định hữu hình,221,,"5,708,868,351","6,774,467,936"
- Nguyên giá,222,,"92,020,547,390","91,917,547,390"
- Giá trị hao mòn lũy kế,223,,"-86,311,679,039","-85,143,079,454"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"19,021,367,841","19,339,248,573"
- Nguyên giá,228,,"27,837,973,495","27,837,973,495"
- Giá trị hao mòn lũy kế,229,,"-8,816,605,654","-8,498,724,922"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,"10,688,386,500","10,688,386,500"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"10,688,386,500","10,688,386,500"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"760,000,000","880,000,000"
1. Chi phí trả trước dài hạn,261,,"760,000,000","880,000,000"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"213,013,885,260","218,579,542,224"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"8,886,749,837","9,043,271,702"
I. Nợ ngắn hạn,310,,"7,802,926,266","7,937,231,960"
1. Phải trả người bán ngắn hạn,311,,"3,808,804,627","1,263,430,476"
2. Người mua trả tiền trước ngắn hạn,312,,"687,101,600","726,377,600"
