Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"1,175,373,508","1,904,151,011"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"3,770,860,937","5,543,547,248"
- Các khoản dự phòng,03,,"-1,113,604,907","1,503,776,781"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-220,449,388","-319,230,692"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-3,851,711,717","-3,617,325,996"
- Chi phí lãi vay,06,,0,"737,750,739"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"-239,531,567","5,752,669,091"
"- Tăng, giảm các khoản phải thu",09,,"10,287,306,945","-2,802,657,906"
"- Tăng, giảm hàng tồn kho",10,,"49,280,005,081","4,946,183,097"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-969,258,148","-8,858,085,162"
"- Tăng, giảm chi phí trả trước",12,,"240,000,000","345,478,745"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,0,"-772,532,301"
- Thuế thu nhập doanh nghiệp đã nộp,15,,0,0
- Tiền thu khác từ hoạt động kinh doanh,16,,"156,900,000","91,000,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-1,647,596,414","-737,150,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"57,107,825,897","-2,035,094,436"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-3,143,790,996","-676,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-78,960,000,000","-77,480,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"36,630,000,000","117,250,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-10,000,000,000",0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"3,381,514,306","4,019,570,496"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-52,092,276,690","43,113,570,496"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,0,"4,500,000,000"
4.Tiền chi trả nợ gốc vay,34,,0,"-54,466,195,253"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-4,967,850,500","-5,961,420,600"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-4,967,850,500","-55,927,615,853"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"47,698,707","-14,849,139,793"
Tiền và tương đương tiền đầu kỳ,60,,"13,386,493,510","27,955,052,472"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"222,112,541","280,580,831"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"13,656,304,758","13,386,493,510"
