Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"31,677,033,113","66,533,395,249","122,651,245,150","225,542,898,242"
2. Các khoản giảm trừ doanh thu,02,,0,0,"1,764,722,520","9,420,961,893"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"31,677,033,113","66,533,395,249","120,886,522,630","216,121,936,349"
4. Giá vốn hàng bán,11,,"36,572,380,193","63,512,042,024","120,739,525,348","194,982,437,674"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"-4,895,347,080","3,021,353,225","146,997,282","21,139,498,675"
6. Doanh thu hoạt động tài chính,21,,"814,952,538","2,020,019,895","3,002,310,313","5,365,438,208"
7. Chi phí tài chính,22,,"56,601,664","-141,325,138","225,236,031","135,959,609"
- Trong đó: Chi phí lãi vay,23,,"79,996,860","134,974,800","215,894,445","149,788,570"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"2,315,746,691","2,598,767,049","8,182,671,805","9,405,642,814"
10. Chi phí quản lý doanh nghiệp,26,,"1,716,299,945","1,547,828,402","7,866,720,432","9,863,117,856"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-8,169,042,842","1,036,102,807","-13,125,320,673","7,100,216,604"
12. Thu nhập khác,31,,"562,719,300",0,"1,203,200,579","3,236,837,475"
13. Chi phí khác,32,,0,"39,142","73,205,071","71,875,231"
14. Lợi nhuận khác(40=31-32),40,,"562,719,300","-39,142","1,129,995,508","3,164,962,244"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-7,606,323,542","1,036,063,665","-11,995,325,165","10,265,178,848"
16. Chi phí thuế TNDN hiện hành,51,,0,"13,782,912",0,"1,718,235,596"
17. Chi phí thuế TNDN hoãn lại,52,,"4,113,020","201,859,725","-28,765,708","238,103,096"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-7,610,436,562","820,421,028","-11,966,559,457","8,308,840,156"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,-728,67,"-1,115",700
22. Lãi suy giảm trên cổ phiếu (*),71,,-728,67,"-1,115",700
