Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"10,265,178,848","11,911,379,426"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"4,351,075,332","4,214,029,601"
- Các khoản dự phòng,03,,"1,038,688,170","62,920,390"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-200,427,772","-112,246,513"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-4,681,061,282","-6,696,541,313"
- Chi phí lãi vay,06,,"149,788,570",0
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"10,923,241,866","9,379,541,591"
"- Tăng, giảm các khoản phải thu",09,,"13,990,042,091","20,739,263,614"
"- Tăng, giảm hàng tồn kho",10,,"-47,974,886,831","-17,889,076,709"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-4,118,953,669","6,441,113,635"
"- Tăng, giảm chi phí trả trước",12,,"240,000,000","240,000,000"
"- Tăng, giảm chứng khoán kinh doanh",13,,"1,001,466,090","-1,001,200,010"
- Tiền lãi vay đã trả,14,,"-149,788,570",0
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-381,660,640","-1,020,707,015"
- Tiền thu khác từ hoạt động kinh doanh,16,,"332,465,000","189,285,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-686,570,000","-302,470,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-26,824,644,663","16,775,750,106"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-2,044,947,401","-3,869,716,730"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"227,272,727"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-94,450,000,000","-169,100,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"128,310,000,000","184,450,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"5,081,333,961","6,576,767,714"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"36,896,386,560","18,284,323,711"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"56,500,000",0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,"-2,293,000","-27,868,629,389"
3.Tiền thu từ đi vay,33,,"18,211,419,470",0
4.Tiền chi trả nợ gốc vay,34,,"-18,211,419,470",0
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-7,633,801,300","-9,919,926,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-7,579,594,300","-37,788,555,389"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"2,492,147,597","-2,728,481,572"
Tiền và tương đương tiền đầu kỳ,60,,"11,098,787,731","13,656,304,758"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"202,457,892","170,964,545"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"13,793,393,220","11,098,787,731"
