Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"177,998,697,551","163,042,481,781"
I. Tiền và các khoản tương đương tiền,110,,"45,710,359,282","61,812,295,456"
1. Tiền,111,,"10,710,359,282","12,812,295,456"
2. Các khoản tương đương tiền,112,,"35,000,000,000","49,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"64,134,959,920","6,134,959,920"
1. Chứng khoán kinh doanh,121,,"4,134,959,920","4,134,959,920"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"60,000,000,000","2,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"18,799,684,559","7,766,546,518"
1. Phải thu ngắn hạn của khách hàng,131,,"12,674,396,730","5,230,006,800"
2. Trả trước cho người bán ngắn hạn,132,,"126,681,000","51,336,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"6,819,306,829","3,305,903,718"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-820,700,000","-820,700,000"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"45,614,343,657","84,836,260,629"
1. Hàng tồn kho,141,,"45,614,343,657","84,836,260,629"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"3,739,350,133","2,492,419,258"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"3,739,350,133","2,492,419,258"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"39,213,706,105","38,045,025,902"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"27,525,319,605","26,236,639,402"
1. Tài sản cố định hữu hình,221,,"7,868,190,300","6,261,629,365"
- Nguyên giá,222,,"91,612,547,390","88,699,903,654"
- Giá trị hao mòn lũy kế,223,,"-83,744,357,090","-82,438,274,289"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"19,657,129,305","19,975,010,037"
- Nguyên giá,228,,"27,837,973,495","27,837,973,495"
- Giá trị hao mòn lũy kế,229,,"-8,180,844,190","-7,862,963,458"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,"10,688,386,500","10,688,386,500"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"10,688,386,500","10,688,386,500"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,000,000,000","1,120,000,000"
1. Chi phí trả trước dài hạn,261,,"1,000,000,000","1,120,000,000"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"217,212,403,656","201,087,507,683"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"11,973,405,300","6,761,017,862"
I. Nợ ngắn hạn,310,,"10,680,097,478","5,544,333,271"
1. Phải trả người bán ngắn hạn,311,,"6,608,269,207","1,573,049,595"
2. Người mua trả tiền trước ngắn hạn,312,,"792,102,100","1,708,663,222"
3. Thuế và các khoản phải nộp nhà nước,313,,"2,545,510","812,900"
4. Phải trả người lao động,314,,"2,000,733,957","163,575"
5. Chi phí phải trả ngắn hạn,315,,0,0
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"236,565,757","227,976,320"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"1,039,880,947","2,033,667,659"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"1,293,307,822","1,216,684,591"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"1,202,508,000","1,202,508,000"
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"90,799,822","14,176,591"
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"205,238,998,356","194,326,489,821"
I. Vốn chủ sở hữu,410,,"205,238,998,356","194,326,489,821"
1. Vốn góp của chủ sở hữu,411,,"123,464,110,000","123,464,110,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"123,464,110,000","123,464,110,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"93,325,820,793","93,325,820,793"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,"1,287,760,139","1,287,760,139"
5. Cổ phiếu quỹ,415,,"-27,814,422,389","-27,814,422,389"
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"5,837,847,302","5,837,847,302"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"9,137,882,511","-1,774,626,024"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"-1,774,626,024","-2,000,136,035"
- LNST chưa phân phối kỳ này,421b,,"10,912,508,535","225,510,011"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"217,212,403,656","201,087,507,683"
