Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"219,916,892,024","225,795,571,644",,
2. Các khoản giảm trừ doanh thu,02,,"1,653,001,976","1,606,384,800",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"218,263,890,048","224,189,186,844",,
4. Giá vốn hàng bán,11,,"195,139,379,102","205,602,824,635",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"23,124,510,946","18,586,362,209",,
6. Doanh thu hoạt động tài chính,21,,"7,347,930,282","4,485,344,396",,
7. Chi phí tài chính,22,,"312,510,941","-1,161,839,809",,
- Trong đó: Chi phí lãi vay,23,,0,0,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"9,810,361,128","12,077,375,014",,
10. Chi phí quản lý doanh nghiệp,26,,"9,717,449,618","8,407,367,160",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"10,632,119,541","3,748,804,240",,
12. Thu nhập khác,31,,"1,355,076,542","62,716,688",,
13. Chi phí khác,32,,"75,816,657","2,636,147,420",,
14. Lợi nhuận khác(40=31-32),40,,"1,279,259,885","-2,573,430,732",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"11,911,379,426","1,175,373,508",,
16. Chi phí thuế TNDN hiện hành,51,,"2,548,062,623","61,763,690",,
17. Chi phí thuế TNDN hoãn lại,52,,"-227,913,878","-17,988,268",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"9,591,230,681","1,131,598,086",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,881,95,,
22. Lãi suy giảm trên cổ phiếu (*),71,,881,95,,
