,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 3 năm 2024,17/10/2024 00:00:00,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/Báo cáo tài chính Quý 3 năm 2024_17_10_2024 00_00_00
1,2,Báo cáo tài chính Riêng - bán niên năm 2024,CTCP Thủy sản Mekong,Báo cáo tài chính Bán niên năm 2024 (Kiểm toán),05/08/2024 14:01:14,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - bán niên năm 2024,./crawl_table/AAM/Báo cáo tài chính Bán niên năm 2024 (Kiểm toán)_05_08_2024 14_01_14
2,3,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 2/2024,11/07/2024 10:48:42,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/Báo cáo tài chính Quý 2_2024_11_07_2024 10_48_42
3,4,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,BÁO CÁO TÀI CHÍNH QUÝ 1 NĂM 2024,15/04/2024 13:59:04,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/BÁO CÁO TÀI CHÍNH QUÝ 1 NĂM 2024_15_04_2024 13_59_04
4,5,Báo cáo tài chính Riêng năm 2023,CTCP Thủy sản Mekong,Báo cáo tài chính năm 2023 (Kiểm toán),24/02/2024 08:35:02,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng năm 2023,./crawl_table/AAM/Báo cáo tài chính năm 2023 (Kiểm toán)_24_02_2024 08_35_02
5,6,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 4/2023 (Trước kiểm toán),11/01/2024 15:46:56,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/Báo cáo tài chính Quý 4_2023 (Trước kiểm toán)_11_01_2024 15_46_56
6,7,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 3/2023,14/10/2023 10:45:42,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/Báo cáo tài chính Quý 3_2023_14_10_2023 10_45_42
7,8,Báo cáo tài chính Riêng - Bán niên,CTCP Thủy sản Mekong,Báo cáo tài chính Bán niên năm 2023 đã kiểm toán,09/08/2023 14:16:09,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Bán niên,./crawl_table/AAM/Báo cáo tài chính Bán niên năm 2023 đã kiểm toán_09_08_2023 14_16_09
8,9,Báo cáo tài chính Riêng - Quý,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 2/2023 (Trước kiểm toán),14/07/2023 09:03:11,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính Riêng - Quý,./crawl_table/AAM/Báo cáo tài chính Quý 2_2023 (Trước kiểm toán)_14_07_2023 09_03_11
9,10,Báo cáo tài chính quý 1/ năm 2023,CTCP Thủy sản Mekong,Báo cáo tài chính Quý 1 năm 2023,15/04/2023 14:36:48,1800448811,CTCP Thủy sản Mekong,Báo cáo tài chính quý 1/ năm 2023,./crawl_table/AAM/Báo cáo tài chính Quý 1 năm 2023_15_04_2023 14_36_48
