Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"297,924,745,573","291,235,978,724"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-301,664,137,910","-219,771,318,194"
3. Tiền chi trả cho người lao động,03,,"-5,873,721,794","-3,208,995,573"
4. Tiền lãi vay đã trả,04,,"-10,404,222,002","-17,438,720,604"
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-5,450,551,514","-5,914,654,233"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"67,667,092,568","20,658,419,675"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-41,180,000,245","-33,336,555,865"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"1,019,204,676","32,224,153,930"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-29,960,257,964","-10,115,704,073"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"65,154,773,200",0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"61,225,677","257,619,021"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"35,255,740,913","-9,858,085,052"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3. Tiền thu từ đi vay,33,,"166,371,786,517","241,053,614,519"
4.Tiền chi trả nợ gốc vay,34,,"-187,107,753,534","-257,730,843,353"
5.Tiền chi trả nợ thuê tài chính,35,,"-939,440,000","-7,415,859,320"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-21,675,407,017","-24,093,088,154"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"14,599,538,572","-1,727,019,276"
Tiền và tương đương tiền đầu kỳ,60,,"5,126,341,359","6,716,559,064"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"140,492","136,801,570"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"19,726,020,423","5,126,341,358"
