Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"179,716,840,952","161,809,575,934","384,400,739,991","287,834,170,091"
2. Các khoản giảm trừ doanh thu,02,,0,"235,891,200",0,"235,891,200"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"179,716,840,952","161,573,684,734","384,400,739,991","287,598,278,891"
4. Giá vốn hàng bán,11,,"162,719,773,743","153,098,002,305","354,604,610,556","263,889,957,514"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"16,997,067,209","8,475,682,429","29,796,129,435","23,708,321,377"
6. Doanh thu hoạt động tài chính,21,,"215,464,418","894,061,587","309,747,080","908,796,168"
7. Chi phí tài chính,22,,"4,855,039,087","2,272,952,849","10,088,804,594","12,455,556,051"
- Trong đó: Chi phí lãi vay,23,,"4,630,821,128","2,272,952,849","9,681,872,570","12,158,956,471"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"3,772,525,209","2,181,273,761","5,313,972,983","3,241,462,518"
10. Chi phí quản lý doanh nghiệp,26,,"2,962,830,889","3,369,247,582","5,762,233,005","6,369,908,395"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"5,622,136,442","1,546,269,824","8,940,865,933","2,550,190,581"
12. Thu nhập khác,31,,"313,854,623","6,257,540,782","314,906,639","556,619,609"
13. Chi phí khác,32,,"785,186,729","5,712,855,434","1,393,586,369","1,233,956,914"
14. Lợi nhuận khác(40=31-32),40,,"-471,332,106","544,685,348","-1,078,679,730","-677,337,305"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"5,150,804,336","2,090,955,172","7,862,186,203","1,872,853,276"
16. Chi phí thuế TNDN hiện hành,51,,"1,187,198,213","418,191,034","1,851,154,514","559,311,396"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"3,963,606,123","1,672,764,138","6,011,031,689","1,313,541,880"
19. Lợi nhuận sau thuế công ty mẹ,61,,56,26,85,21
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,56,26,56,21
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
