Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"427,105,037,836","443,749,376,517"
I. Tiền và các khoản tương đương tiền,110,,"10,157,559,631","15,812,579,609"
1. Tiền,111,,"10,157,559,631","15,812,579,609"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,"1,000,000,000"
1. Chứng khoán kinh doanh,121,,0,"1,000,000,000"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"391,854,338,462","412,319,618,339"
1. Phải thu ngắn hạn của khách hàng,131,,"132,730,826,454","118,310,020,093"
2. Trả trước cho người bán ngắn hạn,132,,"172,311,424,051","239,453,952,946"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"36,900,000,000","36,900,000,000"
6. Phải thu ngắn hạn khác,136,,"51,741,790,424","19,485,347,767"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-1,829,702,467","-1,829,702,467"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"22,992,670,150","14,106,487,540"
1. Hàng tồn kho,141,,"24,624,401,737","15,738,219,127"
2. Dự phòng giảm giá hàng tồn kho,149,,"-1,631,731,587","-1,631,731,587"
V.Tài sản ngắn hạn khác,150,,"2,100,469,593","510,691,029"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"1,977,410,634","387,632,070"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"123,058,959","123,058,959"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"594,636,221,762","609,696,511,311"
I. Các khoản phải thu dài hạn,210,,"31,544,164,742","66,450,000,000"
