Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"115,831,425,628","45,982,506,053","115,831,425,628","45,982,506,053"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"115,831,425,628","45,982,506,053","115,831,425,628","45,982,506,053"
4. Giá vốn hàng bán,11,,"98,624,825,323","38,706,873,531","98,624,825,323","38,706,873,531"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"17,206,600,305","7,275,632,522","17,206,600,305","7,275,632,522"
6. Doanh thu hoạt động tài chính,21,,"204,415,061","34,281,976","204,415,061","34,281,976"
7. Chi phí tài chính,22,,"2,374,974,509","3,036,461,139","2,374,974,509","3,036,461,139"
- Trong đó: Chi phí lãi vay,23,,"2,374,974,509","3,013,551,586","2,374,974,509","3,013,551,586"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"874,888,211","845,948,130","874,888,211","845,948,130"
10. Chi phí quản lý doanh nghiệp,26,,"3,014,421,124","1,895,339,755","3,014,421,124","1,895,339,755"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"11,146,731,522","1,532,165,474","11,146,731,522","1,532,165,474"
12. Thu nhập khác,31,,0,"111,203,174,875",0,"111,203,174,875"
13. Chi phí khác,32,,"38,892,215","102,486,868,813","38,892,215","102,486,868,813"
14. Lợi nhuận khác(40=31-32),40,,"-38,892,215","8,716,306,062","-38,892,215","8,716,306,062"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"11,107,839,307","10,248,471,536","11,107,839,307","10,248,471,536"
16. Chi phí thuế TNDN hiện hành,51,,"2,229,346,304","2,053,040,107","2,229,346,304","2,053,040,107"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"8,878,493,003","8,195,431,429","8,878,493,003","8,195,431,429"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,255,236,255,236
22. Lãi suy giảm trên cổ phiếu (*),71,,255,236,255,236
