Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"295,584,707,203","120,301,104,114",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"295,584,707,203","120,301,104,114",,
4. Giá vốn hàng bán,11,,"245,631,781,124","103,822,065,720",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"49,952,926,079","16,479,038,394",,
6. Doanh thu hoạt động tài chính,21,,"5,537,931,116","10,922,334,628",,
7. Chi phí tài chính,22,,"14,189,807,556","14,233,731,754",,
- Trong đó: Chi phí lãi vay,23,,"12,049,661,490","12,836,893,128",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"5,915,010,046","4,163,692,838",,
10. Chi phí quản lý doanh nghiệp,26,,"6,256,016,559","4,849,837,823",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"29,130,023,034","4,154,110,607",,
12. Thu nhập khác,31,,"3,500,425,341",,,
13. Chi phí khác,32,,"3,124,226,624","1,417,588,276",,
14. Lợi nhuận khác(40=31-32),40,,"376,198,717","-1,417,588,276",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"29,506,221,751","2,736,522,331",,
16. Chi phí thuế TNDN hiện hành,51,,"5,516,259,675","1,222,256,879",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"23,989,962,076","1,514,265,452",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,689,44,,
22. Lãi suy giảm trên cổ phiếu (*),71,,689,44,,
