Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"234,585,343,177","136,630,167,381"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-273,597,680,509","-72,756,423,376"
3. Tiền chi trả cho người lao động,03,,"-1,058,197,000","-2,656,169,092"
4. Tiền lãi vay đã trả,04,,"-2,822,907,179","-5,329,250,757"
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-3,441,929,466","-1,000,000,000"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"38,750,045,118","6,725,800,501"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-23,214,589,077","-21,505,395,963"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-30,799,914,936","40,108,728,694"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-1,110,257,964"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,0,0
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,0,"-1,110,257,964"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"44,628,118,654","64,533,410,920"
4.Tiền chi trả nợ gốc vay,34,,"-44,529,178,591","-98,240,719,592"
5.Tiền chi trả nợ thuê tài chính,35,,0,"-468,000,000"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,.37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"98,940,063","-34,175,308,672"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-30,700,974,873","4,823,162,058"
Tiền và tương đương tiền đầu kỳ,60,,"57,336,761,301","5,126,341,358"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"26,635,786,428","9,949,503,416"
