Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"112,827,214,372","131,850,140,355"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-76,318,407,794","-118,068,808,679"
3. Tiền chi trả cho người lao động,03,,"-8,212,366,604","-2,102,276,813"
4. Tiền lãi vay đã trả,04,,"-2,231,281,175","-2,441,885,622"
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-918,328,878","-2,000,000,000"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"49,018,580,327","17,061,361,331"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-34,187,712,630","-12,159,266,781"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"39,977,697,618","12,139,263,791"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-5,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-2,500,000,000",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,0,0
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,500,000,000","-5,000,000"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"46,895,077,008","35,681,600,000"
4.Tiền chi trả nợ gốc vay,34,,"-44,183,540,926","-38,039,571,248"
5.Tiền chi trả nợ thuê tài chính,35,,0,"-471,440,000"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,.37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"2,711,536,082","-2,829,411,248"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"40,189,233,700","9,304,852,543"
Tiền và tương đương tiền đầu kỳ,60,,"26,635,786,428","9,949,503,416"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"66,825,020,128","19,254,355,959"
