Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"296,395,817,053","295,584,707,203",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"296,395,817,053","295,584,707,203",,
4. Giá vốn hàng bán,11,,"253,246,401,110","245,631,781,124",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"43,149,415,943","49,952,926,079",,
6. Doanh thu hoạt động tài chính,21,,"1,769,881,759","5,537,931,116",,
7. Chi phí tài chính,22,,"11,620,576,413","14,189,807,556",,
- Trong đó: Chi phí lãi vay,23,,"10,446,181,843","12,049,661,490",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"4,860,590,531","5,915,010,046",,
10. Chi phí quản lý doanh nghiệp,26,,"5,004,466,684","6,256,016,559",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"23,433,664,074","29,130,023,034",,
12. Thu nhập khác,31,,"3,419,802,294","3,500,425,341",,
13. Chi phí khác,32,,"921,089,731","3,124,226,624",,
14. Lợi nhuận khác(40=31-32),40,,"2,498,712,563","376,198,717",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"25,932,376,637","29,506,221,751",,
16. Chi phí thuế TNDN hiện hành,51,,"4,785,285,844","5,516,259,675",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"21,147,090,793","23,989,962,076",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,608,689,,
22. Lãi suy giảm trên cổ phiếu (*),71,,608,689,,
