Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"530,438,953,331","297,924,745,573"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"-442,427,370,863","-301,664,137,910"
- Các khoản dự phòng,03,,"-21,406,651,277","-5,873,721,794"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-10,133,951,658","-10,404,222,002"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-5,360,258,344","-5,450,551,514"
- Chi phí lãi vay,06,,"103,350,070,327","67,667,092,568"
- Các khoản điều chỉnh khác,07,,"-106,310,736,964","-41,180,000,245"
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,0,0
"- Tăng, giảm các khoản phải thu",09,,0,0
"- Tăng, giảm hàng tồn kho",10,,0,0
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,0,0
"- Tăng, giảm chi phí trả trước",12,,0,0
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,0,0
- Thuế thu nhập doanh nghiệp đã nộp,15,,0,0
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,0,0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"48,150,054,552","1,019,204,676"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-296,957,978,771","-29,960,257,964"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"65,154,773,200"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"207,033,836","61,225,677"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-296,750,944,935","35,255,740,913"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"250,000,000,000",0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"346,559,293,748","166,371,786,517"
4.Tiền trả nợ gốc vay,34,,"-241,326,577,646","-187,107,753,534"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,"-939,440,000"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-33,052,045,000",0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"322,180,671,102","-21,675,407,017"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"73,579,780,719","14,599,538,572"
Tiền và tương đương tiền đầu kỳ,60,,"19,726,020,423","5,126,341,359"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"10,638,766","140,492"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"93,316,439,908","19,726,020,423"
