Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"501,885,210,335","468,060,301,717"
I. Tiền và các khoản tương đương tiền,110,,"16,029,395,320","2,079,219,084"
1. Tiền,111,,"16,029,395,320","2,079,219,084"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,,"20,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,,"20,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"380,027,971,899","417,455,201,374"
1. Phải thu ngắn hạn của khách hàng,131,,"57,011,621,772","54,306,382,676"
2. Trả trước cho người bán ngắn hạn,132,,"119,172,678,242","113,940,196,982"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"55,900,000,000","55,900,000,000"
6. Phải thu ngắn hạn khác,136,,"149,853,374,352","195,218,324,183"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-1,909,702,467","-1,909,702,467"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"20,714,676,540","27,578,288,832"
1. Hàng tồn kho,141,,"22,925,854,277","29,789,466,569"
2. Dự phòng giảm giá hàng tồn kho,149,,"-2,211,177,737","-2,211,177,737"
V.Tài sản ngắn hạn khác,150,,"85,113,166,576","947,592,427"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"65,107,617","824,533,468"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"123,058,959","123,058,959"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,"84,925,000,000",0
B. TÀI SẢN DÀI HẠN,200,,"498,970,860,585","543,280,761,484"
I. Các khoản phải thu dài hạn,210,,"344,164,742","31,444,164,742"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"344,164,742","31,444,164,742"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"129,509,146,160","136,188,628,937"
1. Tài sản cố định hữu hình,221,,"118,921,608,929","125,159,925,620"
- Nguyên giá,222,,"299,634,188,603","299,634,188,603"
- Giá trị hao mòn lũy kế,223,,"-180,712,579,674","-174,474,262,983"
2. Tài sản cố định thuê tài chính,224,,"4,714,191,483","5,122,788,183"
- Nguyên giá,225,,"6,257,540,771","6,257,540,771"
- Giá trị hao mòn lũy kế,226,,"-1,543,349,288","-1,134,752,588"
3. Tài sản cố định vô hình,227,,"5,873,345,748","5,905,915,134"
- Nguyên giá,228,,"6,513,877,000","6,513,877,000"
- Giá trị hao mòn lũy kế,229,,"-640,531,252","-607,961,866"
III. Bất động sản đầu tư,230,,"288,682,077,864","294,346,753,470"
- Nguyên giá,231,,"388,176,371,727","388,176,371,727"
- Giá trị hao mòn lũy kế,232,,"-99,494,293,863","-93,829,618,257"
IV. Tài sản dở dang dài hạn,240,,"810,673,000","810,673,000"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,,0
2. Chi phí xây dựng cơ bản dở dang,242,,"810,673,000","810,673,000"
V. Đầu tư tài chính dài hạn,250,,"67,322,000,000","67,322,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"67,322,000,000","67,322,000,000"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"12,302,798,819","13,168,541,335"
1. Chi phí trả trước dài hạn,261,,"12,302,798,819","13,168,541,335"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,000,856,070,920","1,011,341,063,201"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"291,110,360,752","303,719,940,136"
I. Nợ ngắn hạn,310,,"220,847,211,418","227,949,507,762"
1. Phải trả người bán ngắn hạn,311,,"15,688,271,723","31,694,531,405"
2. Người mua trả tiền trước ngắn hạn,312,,"213,718,584","210,000,000"
3. Thuế và các khoản phải nộp nhà nước,313,,"5,501,551,656","6,220,067,698"
4. Phải trả người lao động,314,,"2,084,385,998","4,563,695,000"
5. Chi phí phải trả ngắn hạn,315,,0,0
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"60,189,580,844","47,695,749,791"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"137,068,609,783","137,464,371,038"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"101,092,830","101,092,830"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"70,263,149,334","75,770,432,374"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,"70,263,149,334","75,770,432,374"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"709,745,710,168","707,621,123,065"
I. Vốn chủ sở hữu,410,,"709,745,710,168","707,621,123,065"
1. Vốn góp của chủ sở hữu,411,,"708,191,030,000","708,191,030,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"708,191,030,000","708,191,030,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"-210,000,000","-210,000,000"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"439,500,000","439,500,000"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"18,000,000","18,000,000"
11. Lợi nhuận sau thuế chưa phân phối,421,,"1,307,180,168","-817,406,935"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"-817,406,935","1,649,169,364"
- LNST chưa phân phối kỳ này,421b,,"2,124,587,103","-2,466,576,299"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,000,856,070,920","1,011,341,063,201"
