Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"188,726,631,071","107,196,727,627"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"-147,301,773,013","-113,230,271,193"
- Các khoản dự phòng,03,,"-12,385,352,000","-5,740,648,108"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-2,272,952,849","-6,147,596,401"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-20,091,234,995",0
- Chi phí lãi vay,06,,"1,000,000,000","63,244,924,046"
- Các khoản điều chỉnh khác,07,,"-30,609,040,000","-3,711,654,269"
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,0,0
"- Tăng, giảm các khoản phải thu",09,,0,0
"- Tăng, giảm hàng tồn kho",10,,0,0
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,0,0
"- Tăng, giảm chi phí trả trước",12,,0,0
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,0,0
- Thuế thu nhập doanh nghiệp đã nộp,15,,0,0
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,0,0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-22,933,721,786","41,611,481,702"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"894,061,587",0
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"894,061,587",0
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"62,358,966,509","47,993,337,078"
4.Tiền chi trả nợ gốc vay,34,,"-44,869,285,321","-88,860,695,694"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-1,779,488,168",0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"15,710,193,020","-40,867,358,616"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-6,329,467,179","744,123,086"
Tiền và tương đương tiền đầu kỳ,60,,"16,556,702,695","15,812,579,609"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"10,227,235,516","16,556,702,695"
