Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"212,334,926,756","231,919,215,336"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-275,323,902,294","-231,933,385,880"
3. Tiền chi trả cho người lao động,03,,0,"-12,971,179,327"
4. Tiền lãi vay đã trả,04,,"-5,282,338,660","-5,493,781,422"
5. Thuế thu nhập doanh nghiệp đã nộp,05,,0,0
6. Tiền thu khác từ hoạt động kinh doanh,06,,"144,910,986,567","54,574,657,382"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-19,231,234,131","-5,201,866,622"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"57,408,438,238","30,893,659,467"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-36,900,000,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-20,000,000,000",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,0,0
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-20,000,000,000","-36,900,000,000"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"31,900,186,125","34,299,540,000"
4.Tiền chi trả nợ gốc vay,34,,"-52,048,540,644","-44,229,231,687"
5.Tiền chi trả nợ thuê tài chính,35,,"-322,654,446",0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,.37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-20,471,008,965","-9,929,691,687"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"16,937,429,273","-15,936,032,220"
Tiền và tương đương tiền đầu kỳ,60,,"4,325,915,495","31,748,611,829"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"21,263,344,768","15,812,579,609"
