Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"366,016,769,720","343,223,419,995"
I. Tiền và các khoản tương đương tiền,110,,"33,280,052,512","93,316,439,908"
1. Tiền,111,,"33,280,052,512","90,202,549,908"
2. Các khoản tương đương tiền,112,,,"3,113,890,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,010,230,000","1,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,010,230,000","1,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"311,220,740,409","211,634,262,990"
1. Phải thu ngắn hạn của khách hàng,131,,"76,802,451,428","40,608,448,383"
2. Trả trước cho người bán ngắn hạn,132,,"205,022,861,402","141,713,228,613"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"29,395,427,579","29,312,585,994"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"17,462,300,778","17,819,372,760"
1. Hàng tồn kho,141,,"17,462,300,778","17,819,372,760"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"3,043,446,021","19,453,344,337"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"2,920,387,062","19,330,285,378"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"123,058,959","123,058,959"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"733,956,160,844","633,388,995,336"
I. Các khoản phải thu dài hạn,210,,"180,300,000,000","55,000,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"180,300,000,000","55,000,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"183,347,251,751","434,928,202,407"
1. Tài sản cố định hữu hình,221,,"176,480,920,301","426,431,944,440"
- Nguyên giá,222,,"357,801,098,768","688,719,804,617"
- Giá trị hao mòn lũy kế,223,,"-181,320,178,467","-262,287,860,177"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"6,866,331,450","8,496,257,967"
- Nguyên giá,228,,"7,278,877,000","8,851,528,000"
- Giá trị hao mòn lũy kế,229,,"-412,545,550","-355,270,033"
III. Bất động sản đầu tư,230,,"278,363,730,808",0
- Nguyên giá,231,,"339,385,339,389",0
- Giá trị hao mòn lũy kế,232,,"-61,021,608,581",0
IV. Tài sản dở dang dài hạn,240,,"5,931,923,000","55,217,003,411"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"5,931,923,000","55,217,003,411"
V. Đầu tư tài chính dài hạn,250,,"67,322,000,000","67,322,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"67,322,000,000","67,322,000,000"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"18,691,255,285","20,921,789,518"
1. Chi phí trả trước dài hạn,261,,"18,691,255,285","20,921,789,518"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,099,972,930,564","976,612,415,331"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"342,890,564,234","307,875,600,855"
I. Nợ ngắn hạn,310,,"145,828,644,946","115,701,731,526"
1. Phải trả người bán ngắn hạn,311,,"14,104,686,682","12,872,688,710"
2. Người mua trả tiền trước ngắn hạn,312,,"11,942,208,533","1,655,033,858"
3. Thuế và các khoản phải nộp nhà nước,313,,"22,533,050,802","7,280,213,249"
4. Phải trả người lao động,314,,"4,384,647,166","4,874,512,912"
5. Chi phí phải trả ngắn hạn,315,,0,"40,264,699"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"2,649,353","9,662,750,000"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"92,760,309,580","79,215,175,268"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"101,092,830","101,092,830"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"197,061,919,288","192,173,869,329"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"44,939,363,709","53,687,591,709"
8. Vay và nợ thuê tài chính dài hạn,338,,"152,122,555,579","138,486,277,620"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"757,082,366,330","668,736,814,476"
I. Vốn chủ sở hữu,410,,"757,082,366,330","668,736,814,476"
1. Vốn góp của chủ sở hữu,411,,"638,014,890,000","638,014,890,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"638,014,890,000","638,014,890,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"-210,000,000","-210,000,000"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"439,500,000","439,500,000"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"18,000,000","18,000,000"
11. Lợi nhuận sau thuế chưa phân phối,421,,"118,819,976,330","30,474,424,476"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"30,474,424,476","1,660,768,217"
- LNST chưa phân phối kỳ này,421b,,"88,345,551,854","28,813,656,259"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,099,972,930,564","976,612,415,331"
