,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính Riêng - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 3 năm 2024 và giải trình chênh lệch lợi nhuận,18/10/2024 00:00:00,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Riêng - Quý,./crawl_table/AAT/Báo cáo tài chính quý 3 năm 2024 và giải trình chênh lệch lợi nhuận_18_10_2024 00_00_00
1,2,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,BCTC Quý 2 năm 2024 và Giải trình chênh lệch lợi nhuận sau thuế,19/07/2024 13:50:57,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/BCTC Quý 2 năm 2024 và Giải trình chênh lệch lợi nhuận sau thuế_19_07_2024 13_50_57
2,3,Đính chính Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Đính chính báo cáo TC quý 1 năm 2024,24/06/2024 15:57:35,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Đính chính Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Đính chính báo cáo TC quý 1 năm 2024_24_06_2024 15_57_35
3,4,Báo cáo tài chính Tổng hợp - Năm,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính kiểm toán năm 2023 và giải trình chênh lệch lợi nhuận so với cùng kỳ,29/05/2024 16:55:23,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Năm,./crawl_table/AAT/Báo cáo tài chính kiểm toán năm 2023 và giải trình chênh lệch lợi nhuận so với cùng kỳ_29_05_2024 16_55_23
4,5,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 1 năm 2024 và giải trình chênh lệch lợi nhuận,20/04/2024 10:28:33,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 1 năm 2024 và giải trình chênh lệch lợi nhuận_20_04_2024 10_28_33
5,6,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 4 năm 2023 và giải trình chênh lệch lợi nhuận,19/01/2024 16:31:39,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 4 năm 2023 và giải trình chênh lệch lợi nhuận_19_01_2024 16_31_39
6,7,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,BCTC quý 3 năm 2023,20/10/2023 16:54:27,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/BCTC quý 3 năm 2023_20_10_2023 16_54_27
7,8,Báo cáo tài chính Tổng hợp - Bán niên,CTCP Tập đoàn Tiên Sơn Thanh Hóa,BCTC Soát xét bán niên năm 2023 và giải trình chênh lệch lợi luận so với cùng kỳ,15/08/2023 15:03:27,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Bán niên,./crawl_table/AAT/BCTC Soát xét bán niên năm 2023 và giải trình chênh lệch lợi luận so với cùng kỳ_15_08_2023 15_03_27
8,9,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 2 năm 2023 và giải trình chênh lệch lợi nhuận so với cùng kỳ,20/07/2023 14:09:46,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 2 năm 2023 và giải trình chênh lệch lợi nhuận so với cùng kỳ_20_07_2023 14_09_46
9,10,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,BCTC QUÝ 1 NĂM 2023 VÀ GIẢI TRÌNH CHÊNH LỆCH LỢI NHUẬN SO VỚI CÙNG KỲ,20/04/2023 13:56:43,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/BCTC QUÝ 1 NĂM 2023 VÀ GIẢI TRÌNH CHÊNH LỆCH LỢI NHUẬN SO VỚI CÙNG KỲ_20_04_2023 13_56_43
10,11,Báo cáo tài chính Tổng hợp - Năm,CTCP Tập đoàn Tiên Sơn Thanh Hóa,BÁO CÁO TÀI CHÍNH KIỂM TOÁN NĂM 2022 VÀ GIẢI TRÌNH CHÊNH LỆCH LỢI NHUẬN,30/03/2023 08:04:25,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Năm,./crawl_table/AAT/BÁO CÁO TÀI CHÍNH KIỂM TOÁN NĂM 2022 VÀ GIẢI TRÌNH CHÊNH LỆCH LỢI NHUẬN_30_03_2023 08_04_25
11,12,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 4 năm 2022,16/01/2023 08:34:04,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 4 năm 2022_16_01_2023 08_34_04
12,13,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 3/2022 và giải trình chênh lệch lợi nhuận,18/10/2022 15:48:15,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 3_2022 và giải trình chênh lệch lợi nhuận_18_10_2022 15_48_15
13,14,Báo cáo tài chính Tổng hợp - Bán niên,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính bán niên 2022 và giải trình chênh lệch lợi nhuận,01/08/2022 13:25:36,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Bán niên,./crawl_table/AAT/Báo cáo tài chính bán niên 2022 và giải trình chênh lệch lợi nhuận_01_08_2022 13_25_36
14,15,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý II năm 2022,18/07/2022 13:54:32,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý II năm 2022_18_07_2022 13_54_32
15,16,Báo cáo tài chính Tổng hợp - Quý,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính quý 1 năm 2022,18/04/2022 14:10:45,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/AAT/Báo cáo tài chính quý 1 năm 2022_18_04_2022 14_10_45
16,17,Báo cáo tài chính tổng hợp năm 2021,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính năm 2021 đã kiểm toán,21/03/2022 10:49:17,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính tổng hợp năm 2021,./crawl_table/AAT/Báo cáo tài chính năm 2021 đã kiểm toán_21_03_2022 10_49_17
17,18,Báo cáo tài chính Tổng hợp - Quý 4/ năm 2021,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Quý 4/2021-AAT,20/01/2022 15:49:16,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý 4/ năm 2021,./crawl_table/AAT/Báo cáo tài chính Quý 4_2021-AAT_20_01_2022 15_49_16
18,19,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2021,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Quý 3/2021 AAT,18/10/2021 08:05:01,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2021,./crawl_table/AAT/Báo cáo tài chính Quý 3_2021 AAT_18_10_2021 08_05_01
19,20,Báo cáo tài chính Tổng hợp bán niên năm 2021,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính soát xét bán niên 2021 - AAT,23/07/2021 08:51:28,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp bán niên năm 2021,./crawl_table/AAT/Báo cáo tài chính soát xét bán niên 2021 - AAT_23_07_2021 08_51_28
20,21,Báo cáo tài chính Tổng hợp - Quý 2/ năm 2021,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Quý 2/2021 - AAT,17/07/2021 08:58:03,2800222245,CTCP Tập đoàn Tiên Sơn Thanh Hóa,Báo cáo tài chính Tổng hợp - Quý 2/ năm 2021,./crawl_table/AAT/Báo cáo tài chính Quý 2_2021 - AAT_17_07_2021 08_58_03
