Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"748,032,695,377","749,900,579,285"
I. Tiền và các khoản tương đương tiền,110,,"5,836,104,699","2,442,273,584"
1. Tiền,111,,"5,836,104,699","2,442,273,584"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"722,795,596,032","727,283,102,428"
1. Phải thu ngắn hạn của khách hàng,131,,"17,261,387,071","38,631,464,940"
2. Trả trước cho người bán ngắn hạn,132,,"266,406,475,418","266,386,668,755"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"63,741,163,500","54,259,910,500"
6. Phải thu ngắn hạn khác,136,,"393,848,492,235","386,466,980,424"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-18,461,922,192","-18,461,922,191"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"9,713,906,179","9,713,715,449"
1. Hàng tồn kho,141,,"13,375,707,597","13,375,516,867"
2. Dự phòng giảm giá hàng tồn kho,149,,"-3,661,801,418","-3,661,801,418"
V.Tài sản ngắn hạn khác,150,,"9,687,088,467","10,461,487,824"
1. Chi phí trả trước ngắn hạn,151,,"99,802,469","2,225,169"
2. Thuế GTGT được khấu trừ,152,,"8,718,311,280","10,042,039,573"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"868,974,718","417,223,082"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"314,137,256,808","329,704,703,682"
I. Các khoản phải thu dài hạn,210,,"52,852,463,591","52,820,640,637"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"52,852,463,591","52,820,640,637"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"21,038,126,979","21,547,596,974"
1. Tài sản cố định hữu hình,221,,"20,574,220,480","21,058,416,703"
- Nguyên giá,222,,"39,527,564,747","39,527,564,747"
- Giá trị hao mòn lũy kế,223,,"-18,953,344,267","-18,469,148,044"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"463,906,499","489,180,271"
- Nguyên giá,228,,"2,122,500,000","2,122,500,000"
- Giá trị hao mòn lũy kế,229,,"-1,658,593,501","-1,633,319,729"
III. Bất động sản đầu tư,230,,"4,759,889,011","4,795,798,744"
- Nguyên giá,231,,"6,605,445,474","6,605,445,474"
- Giá trị hao mòn lũy kế,232,,"-1,845,556,463","-1,809,646,730"
IV. Tài sản dở dang dài hạn,240,,"172,536,597,756","172,536,597,756"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"172,536,597,756","172,536,597,756"
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"62,950,179,471","78,004,069,571"
1. Chi phí trả trước dài hạn,261,,"925,075,366","13,870,221,565"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"62,025,104,105","64,133,848,006"
TỔNG CỘNG TÀI SẢN,270,,"1,062,169,952,185","1,079,605,282,967"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"256,442,111,883","270,529,247,088"
I. Nợ ngắn hạn,310,,"205,558,368,594","219,473,052,349"
1. Phải trả người bán ngắn hạn,311,,"2,428,793,036","14,516,965,615"
2. Người mua trả tiền trước ngắn hạn,312,,"70,000,000","1,070,000,000"
3. Thuế và các khoản phải nộp nhà nước,313,,"5,951,490,620","6,965,802,470"
4. Phải trả người lao động,314,,"374,822,842","393,589,975"
5. Chi phí phải trả ngắn hạn,315,,"2,163,839,541","2,185,711,533"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"155,664,435","8,547,945"
9. Phải trả ngắn hạn khác,319,,"363,039,980","290,194,257"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"194,050,718,140","194,042,240,554"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,0,0
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"50,883,743,289","51,056,194,739"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,"35,024,231,619","35,024,231,619"
3. Chi phí phải trả dài hạn,333,,"11,889,808,320","11,889,808,320"
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"3,969,703,350","4,142,154,800"
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"805,727,840,302","809,076,035,879"
I. Vốn chủ sở hữu,410,,"805,727,840,302","809,076,035,879"
1. Vốn góp của chủ sở hữu,411,,"689,876,610,000","689,876,610,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"689,876,610,000","689,876,610,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"65,711,978,000","65,711,978,000"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"1,326,758,051","4,671,108,747"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"4,671,108,746","3,163,135,345"
- LNST chưa phân phối kỳ này,421b,,"-3,344,350,695","1,507,973,402"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"48,812,494,251","48,816,339,132"
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,062,169,952,185","1,079,605,282,967"
