Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"6,932,102,419","38,566,222,366"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"10,595,504,623","11,897,752,939"
- Các khoản dự phòng,03,,"4,342,152,504","-587,732,129"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-57,119,744","-7,025,963,422"
- Chi phí lãi vay,06,,"6,675,069,808","3,507,767,240"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"28,487,709,610","46,358,046,994"
"- Tăng, giảm các khoản phải thu",09,,"-43,952,472,814","-318,325,323,978"
"- Tăng, giảm hàng tồn kho",10,,"-5,029,635,496","14,742,395,494"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"10,575,893,354","-42,605,303,334"
"- Tăng, giảm chi phí trả trước",12,,"864,892,294","-14,605,249,738"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-6,609,781,266","-3,520,446,423"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-179,600,182","-10,749,194,919"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,0,0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-15,842,994,500","-328,705,075,904"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-496,000,000","-852,583,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"100,814,748"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-54,259,910,500",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,,"26,300,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,"-94,500,238,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"179,695,533","11,113,430,824"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-54,576,214,967","-57,838,575,428"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"23,314,810,000","409,350,000,000"
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"244,461,609,698","109,416,401,046"
4.Tiền chi trả nợ gốc vay,34,,"-172,008,185,110","-129,644,471,135"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-25,119,810,000","-3,390,000,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"70,648,424,588","385,731,929,911"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"229,215,121","-811,721,421"
Tiền và tương đương tiền đầu kỳ,60,,"2,213,058,463","3,024,779,884"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,442,273,584","2,213,058,463"
