Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"133,591,409,074","133,035,987,289"
I. Tiền và các khoản tương đương tiền,110,,"3,606,431,177","1,495,882,574"
1. Tiền,111,,"3,606,431,177","1,495,882,574"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,"62,772,083","62,772,083"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"62,772,083","62,772,083"
III. Các khoản phải thu ngắn hạn,130,,"94,905,379,261","101,421,422,780"
1. Phải thu ngắn hạn của khách hàng,131,,"48,367,272,721","50,053,248,304"
2. Trả trước cho người bán ngắn hạn,132,,"19,767,026,014","21,375,359,748"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"26,771,080,526","29,992,814,728"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"26,562,653,318","22,762,925,848"
1. Hàng tồn kho,141,,"26,562,653,318","22,762,925,848"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"8,454,173,235","7,292,984,004"
1. Chi phí trả trước ngắn hạn,151,,"80,000,000","20,000,000"
2. Thuế GTGT được khấu trừ,152,,"7,702,437,448","7,272,984,004"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"671,735,787",
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"233,050,434,314","236,649,796,827"
I. Các khoản phải thu dài hạn,210,,"65,040,000,000","68,640,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"23,650,000,000",
6. Phải thu dài hạn khác,216,,"41,390,000,000","68,640,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"45,210,086,489","44,837,523,551"
1. Tài sản cố định hữu hình,221,,"45,210,086,489","44,837,523,551"
- Nguyên giá,222,,"53,893,292,009","52,716,292,009"
- Giá trị hao mòn lũy kế,223,,"-8,683,205,520","-7,878,768,458"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,"5,478,083,674","5,513,993,408"
- Nguyên giá,231,,"6,605,445,474","6,605,445,474"
- Giá trị hao mòn lũy kế,232,,"-1,127,361,800","-1,091,452,066"
IV. Tài sản dở dang dài hạn,240,,"115,603,572,725","115,790,400,538"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"115,588,572,725","115,775,400,538"
2. Chi phí xây dựng cơ bản dở dang,242,,"15,000,000","15,000,000"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,718,691,426","1,867,879,330"
1. Chi phí trả trước dài hạn,261,,"1,718,691,426","1,867,879,330"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"366,641,843,388","369,685,784,116"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"198,067,326,561","203,573,230,794"
I. Nợ ngắn hạn,310,,"128,257,766,809","134,143,777,348"
1. Phải trả người bán ngắn hạn,311,,"10,415,395,382","9,335,631,300"
2. Người mua trả tiền trước ngắn hạn,312,,"430,000,000","776,100,000"
3. Thuế và các khoản phải nộp nhà nước,313,,"624,149,156","5,237,412,399"
4. Phải trả người lao động,314,,0,0
5. Chi phí phải trả ngắn hạn,315,,"113,409,762","118,514,295"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"132,495,477","132,495,477"
9. Phải trả ngắn hạn khác,319,,"1,500,000,000","1,500,018,482"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"115,042,317,032","117,043,605,395"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,0,0
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"69,809,559,752","69,429,453,446"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,"47,332,746,601","47,461,746,601"
3. Chi phí phải trả dài hạn,333,,"17,873,584,532","17,330,920,352"
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"4,603,228,619","4,636,786,493"
7. Phải trả dài hạn khác,337,,0,0
