Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"1,203,923,290","7,132,019,147"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"2,643,419,087","1,859,879,129"
- Các khoản dự phòng,03,,0,"-656,331,200"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-493,734,584","-671,295,746"
- Chi phí lãi vay,06,,"766,870,339","908,641,305"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"4,120,478,132","8,572,912,635"
"- Tăng, giảm các khoản phải thu",09,,"-30,858,140,124","5,115,095,295"
"- Tăng, giảm hàng tồn kho",10,,"-133,804,040","58,415,647"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"13,699,880,659","2,176,642,673"
"- Tăng, giảm chi phí trả trước",12,,"-220,971,540","37,381,156"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-829,044,570","-908,539,194"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-179,600,182","-2,977,478,006"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,0,0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-14,401,201,665","12,074,430,206"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-7,538,545,891"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"493,734,584","2,530,915,822"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"493,734,584","-5,007,630,069"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"57,921,841,564","35,509,207,000"
4.Tiền chi trả nợ gốc vay,34,,"-42,564,819,270","-39,247,730,250"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,"-2,382,000,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"15,357,022,294","-6,120,523,250"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"1,449,555,213","946,276,887"
Tiền và tương đương tiền đầu kỳ,60,,"2,213,058,463","3,024,779,885"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"3,662,613,676","3,971,056,772"
