Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"447,740,058","191,896,938,050","68,654,161,727","278,430,063,009"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"447,740,058","191,896,938,050","68,654,161,727","278,430,063,009"
4. Giá vốn hàng bán,11,,"308,477,570","174,782,404,777","66,149,323,437","255,099,028,154"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"139,262,488","17,114,533,273","2,504,838,290","23,331,034,855"
6. Doanh thu hoạt động tài chính,21,,"2,084,027,143","958,819,958","3,009,120,878","1,452,554,542"
7. Chi phí tài chính,22,,"2,606,212,168","1,701,353,988","5,114,330,399","2,468,224,327"
- Trong đó: Chi phí lãi vay,23,,"2,606,212,168","1,701,353,988","5,114,330,399","2,468,224,327"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"334,769,374",0,"653,778,274",0
10. Chi phí quản lý doanh nghiệp,26,,"4,181,999,073","7,503,706,740","8,867,968,152","12,243,149,276"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-4,899,690,984","8,868,292,503","-9,122,117,657","10,072,215,794"
12. Thu nhập khác,31,,0,0,"13,636,363,636",0
13. Chi phí khác,32,,"60,949,613",274,"12,753,131,499",275
14. Lợi nhuận khác(40=31-32),40,,"-60,949,613",-274,"883,232,137",-275
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-4,960,640,597","8,868,292,229","-8,238,885,520","10,072,215,519"
16. Chi phí thuế TNDN hiện hành,51,,"-69,950,653","2,133,063,640",0,"2,875,321,560"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-4,890,689,944","6,735,228,589","-8,238,885,520","7,196,893,959"
19. Lợi nhuận sau thuế công ty mẹ,61,,"-4,636,902,111","5,242,699,934","-7,981,252,807","5,155,233,538"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-253,787,832","1,492,528,655","-257,632,713","2,041,660,421"
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
