Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"347,138,741,573","341,425,945,424"
I. Tiền và các khoản tương đương tiền,110,,"2,143,387,876","19,757,069,423"
1. Tiền,111,,"2,143,387,876","19,757,069,423"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"316,729,126,032","290,431,953,124"
1. Phải thu ngắn hạn của khách hàng,131,,"93,540,848,294","74,456,155,073"
2. Trả trước cho người bán ngắn hạn,132,,"164,540,812,409","154,735,806,162"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,,"21,300,000,000"
6. Phải thu ngắn hạn khác,136,,"61,374,856,458","42,667,383,018"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-2,727,391,129","-2,727,391,129"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"20,501,291,780","24,245,274,352"
1. Hàng tồn kho,141,,"22,604,774,522","26,482,393,457"
2. Dự phòng giảm giá hàng tồn kho,149,,"-2,103,482,742","-2,237,119,105"
V.Tài sản ngắn hạn khác,150,,"7,764,935,885","6,991,648,525"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"7,515,821,031","6,991,648,525"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"249,114,854",
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"274,067,144,465","247,309,378,736"
I. Các khoản phải thu dài hạn,210,,"50,925,147,716","31,625,147,716"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"26,300,000,000","5,000,000,000"
6. Phải thu dài hạn khác,216,,"24,625,147,716","26,625,147,716"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"38,917,034,898","40,632,023,898"
1. Tài sản cố định hữu hình,221,,"38,846,725,751","40,555,183,499"
- Nguyên giá,222,,"55,154,633,827","55,154,633,827"
- Giá trị hao mòn lũy kế,223,,"-16,307,908,076","-14,599,450,328"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"70,309,147","76,840,399"
- Nguyên giá,228,,"86,500,000","86,500,000"
- Giá trị hao mòn lũy kế,229,,"-16,190,853","-9,659,601"
III. Bất động sản đầu tư,230,,"5,154,896,074","5,226,715,540"
- Nguyên giá,231,,"6,605,445,474","6,605,445,474"
- Giá trị hao mòn lũy kế,232,,"-1,450,549,400","-1,378,729,934"
IV. Tài sản dở dang dài hạn,240,,"143,374,254,430","132,134,177,750"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"143,359,254,430","132,119,177,750"
2. Chi phí xây dựng cơ bản dở dang,242,,"15,000,000","15,000,000"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"35,695,811,347","37,691,313,832"
1. Chi phí trả trước dài hạn,261,,"804,991,066","806,732,390"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"34,890,820,281","36,884,581,442"
TỔNG CỘNG TÀI SẢN,270,,"621,205,886,038","588,735,324,160"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"240,002,574,582","215,641,052,169"
I. Nợ ngắn hạn,310,,"185,685,111,930","161,286,878,080"
1. Phải trả người bán ngắn hạn,311,,"48,368,229,427","29,185,474,763"
2. Người mua trả tiền trước ngắn hạn,312,,"810,000,000","1,721,000,000"
3. Thuế và các khoản phải nộp nhà nước,313,,"2,268,390,049","2,413,082,109"
4. Phải trả người lao động,314,,"4,995,000",0
5. Chi phí phải trả ngắn hạn,315,,"71,108,128","91,527,860"
6. Phải trả nội bộ ngắn hạn,316,,0,0
