Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"90,242,780,629","149,033,928,319","182,044,477,450","237,808,183,747"
2. Các khoản giảm trừ doanh thu,02,,"6,912,000","357,781,831","6,912,000","357,781,831"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"90,235,868,629","148,676,146,488","182,037,565,450","237,450,401,916"
4. Giá vốn hàng bán,11,,"81,585,683,059","132,888,023,224","163,078,370,738","210,380,422,404"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"8,650,185,570","15,788,123,264","18,959,194,712","27,069,979,512"
6. Doanh thu hoạt động tài chính,21,,"600,896,812","741,972,828","1,165,657,888","860,992,972"
7. Chi phí tài chính,22,,"1,132,316,366","1,146,030,251","2,318,922,290","1,792,381,076"
- Trong đó: Chi phí lãi vay,23,,"1,132,316,366","1,146,030,251","2,296,801,290","1,792,380,548"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"110,386,353","168,928,866","292,770,991","380,245,043"
10. Chi phí quản lý doanh nghiệp,26,,"3,295,253,147","3,980,937,304","6,686,908,165","6,310,900,147"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"4,713,126,516","11,234,199,671","10,826,251,154","19,447,446,218"
12. Thu nhập khác,31,,0,0,0,0
13. Chi phí khác,32,,"2,198,250","103,537,211","319,851,177","103,566,829"
14. Lợi nhuận khác(40=31-32),40,,"-2,198,250","-103,537,211","-319,851,177","-103,566,829"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"4,710,928,266","11,130,662,460","10,506,399,977","19,343,879,389"
16. Chi phí thuế TNDN hiện hành,51,,"967,932,186","2,460,789,522","2,397,360,512","4,103,438,830"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"3,742,996,080","8,669,872,938","8,109,039,465","15,240,440,559"
19. Lợi nhuận sau thuế công ty mẹ,61,,"2,884,915,105","8,111,388,936","6,665,526,492","14,371,329,350"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"858,080,975","558,484,002","1,443,512,973","869,111,209"
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
