Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"81,949,381,243","90,680,341,606","500,844,443,428","323,663,812,902"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,"6,912,000"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"81,949,381,243","90,680,341,606","500,844,443,428","323,656,900,902"
4. Giá vốn hàng bán,11,,"76,752,273,514","82,914,748,216","449,882,976,432","291,938,650,993"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"5,197,107,729","7,765,593,390","50,961,466,996","31,718,249,909"
6. Doanh thu hoạt động tài chính,21,,"2,802,717,395","12,066,572,812","4,705,364,373","13,816,063,231"
7. Chi phí tài chính,22,,"848,707,609","924,679,778","3,278,915,163","4,372,532,123"
- Trong đó: Chi phí lãi vay,23,,"848,707,609","924,661,639","3,278,915,163","4,372,505,807"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"229,955,111","120,232,603","531,014,951","521,050,962"
10. Chi phí quản lý doanh nghiệp,26,,"5,732,277,248","12,269,460,482","12,556,908,503","22,298,065,286"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"1,188,885,156","6,517,793,339","39,299,992,752","18,342,664,769"
12. Thu nhập khác,31,,"145,693,017",0,"245,693,096","446,429,200"
13. Chi phí khác,32,,"836,787,997","252,154,531","979,463,482","1,020,213,518"
14. Lợi nhuận khác(40=31-32),40,,"-691,094,980","-252,154,531","-733,770,386","-573,784,318"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"497,790,176","6,265,638,808","38,566,222,366","17,768,880,451"
16. Chi phí thuế TNDN hiện hành,51,,"179,847,295","590,483,478","8,392,574,161","3,386,588,439"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"317,942,881","5,675,155,330","30,173,648,205","14,382,292,012"
19. Lợi nhuận sau thuế công ty mẹ,61,,"195,739,794","6,319,615,442","25,089,730,633","13,342,485,108"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"122,203,087","-644,460,112","5,083,917,572","1,039,806,904"
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
