Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"748,021,253,007","662,151,240,344"
I. Tiền và các khoản tương đương tiền,110,,"515,563,266","2,213,058,463"
1. Tiền,111,,"515,563,266","2,213,058,463"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"725,083,471,277","635,484,543,500"
1. Phải thu ngắn hạn của khách hàng,131,,"41,948,856,824","37,706,662,973"
2. Trả trước cho người bán ngắn hạn,132,,"267,104,715,566","262,697,421,769"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"427,688,007,190","345,009,543,161"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-11,758,108,303","-9,929,084,403"
8. Tài sản Thiếu chờ xử lý,139,,"100,000,000",0
IV. Hàng tồn kho,140,,"12,056,890,327","13,930,491,386"
1. Hàng tồn kho,141,,"16,411,143,945","19,318,897,475"
2. Dự phòng giảm giá hàng tồn kho,149,,"-4,354,253,618","-5,388,406,089"
V.Tài sản ngắn hạn khác,150,,"10,365,328,137","10,523,146,995"
1. Chi phí trả trước ngắn hạn,151,,"162,436,610","214,617,903"
2. Thuế GTGT được khấu trừ,152,,"9,969,598,701","9,518,282,920"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"233,292,826","790,246,172"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"332,604,609,182","329,828,168,970"
I. Các khoản phải thu dài hạn,210,,"52,820,640,637","52,720,492,905"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"52,820,640,637","52,720,492,905"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"22,057,522,706","23,068,487,061"
1. Tài sản cố định hữu hình,221,,"21,542,612,926","22,516,461,428"
- Nguyên giá,222,,"39,655,789,855","39,195,789,855"
- Giá trị hao mòn lũy kế,223,,"-18,113,176,929","-16,679,328,427"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"514,909,780","552,025,633"
- Nguyên giá,228,,"2,122,500,000","2,086,500,000"
- Giá trị hao mòn lũy kế,229,,"-1,607,590,220","-1,534,474,367"
III. Bất động sản đầu tư,230,,"4,831,708,477","4,939,437,676"
- Nguyên giá,231,,"6,605,445,474","6,605,445,474"
- Giá trị hao mòn lũy kế,232,,"-1,773,736,997","-1,666,007,798"
IV. Tài sản dở dang dài hạn,240,,"172,311,962,598","161,563,581,652"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"172,311,962,598","161,563,581,652"
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"80,582,774,764","87,536,169,676"
1. Chi phí trả trước dài hạn,261,,"13,895,557,920","14,522,721,125"
