Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"134,292,811,435","124,700,351,201"
I. Tiền và các khoản tương đương tiền,110,,"1,558,654,657","14,587,846,318"
1. Tiền,111,,"1,495,882,574","14,557,346,318"
2. Các khoản tương đương tiền,112,,"62,772,083","30,500,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"101,752,491,069","74,509,734,694"
1. Phải thu ngắn hạn của khách hàng,131,,"50,098,198,304","23,993,882,690"
2. Trả trước cho người bán ngắn hạn,132,,"21,375,359,748","12,047,368,455"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,,"9,835,000,000"
6. Phải thu ngắn hạn khác,136,,"30,278,933,017","28,633,483,549"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"22,794,538,089","27,994,126,938"
1. Hàng tồn kho,141,,"22,794,538,089","27,994,126,938"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"8,187,127,620","7,608,643,251"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"7,355,909,440","7,608,643,251"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"831,218,180",
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"236,858,872,293","245,221,485,262"
I. Các khoản phải thu dài hạn,210,,"68,340,000,000","75,509,604,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"68,340,000,000","75,509,604,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"45,976,750,455","41,361,118,008"
1. Tài sản cố định hữu hình,221,,"44,549,861,960","39,529,719,107"
- Nguyên giá,222,,"52,716,292,009","45,049,241,271"
- Giá trị hao mòn lũy kế,223,,"-8,166,430,049","-5,519,522,164"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"1,426,888,495","1,831,398,901"
- Nguyên giá,228,,"1,758,214,000","1,983,035,000"
- Giá trị hao mòn lũy kế,229,,"-331,325,505","-151,636,099"
III. Bất động sản đầu tư,230,,"4,192,294,583","4,261,138,280"
- Nguyên giá,231,,"4,883,231,474","4,883,231,474"
- Giá trị hao mòn lũy kế,232,,"-690,936,891","-622,093,194"
IV. Tài sản dở dang dài hạn,240,,"116,467,960,481","122,120,340,942"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"116,467,960,481","122,120,340,942"
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,881,866,774","1,969,284,032"
1. Chi phí trả trước dài hạn,261,,"1,881,866,774","1,969,284,032"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"371,151,683,728","369,921,836,463"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"205,029,020,812","212,609,381,372"
I. Nợ ngắn hạn,310,,"134,853,830,633","57,548,274,875"
1. Phải trả người bán ngắn hạn,311,,"9,335,271,300","8,935,188,872"
2. Người mua trả tiền trước ngắn hạn,312,,"776,100,000","6,660,044,780"
3. Thuế và các khoản phải nộp nhà nước,313,,"5,956,052,774","3,288,476,221"
4. Phải trả người lao động,314,,0,0
5. Chi phí phải trả ngắn hạn,315,,"118,514,295",
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"124,268,687","124,268,687"
