Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"244,738,549,346","163,721,670,913",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"244,738,549,346","163,721,670,913",,
4. Giá vốn hàng bán,11,,"203,468,064,315","144,105,649,092",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"41,270,485,031","19,616,021,821",,
6. Doanh thu hoạt động tài chính,21,,"175,115,367","5,299,542,245",,
7. Chi phí tài chính,22,,"2,546,360,191","595,515,333",,
- Trong đó: Chi phí lãi vay,23,,"2,546,360,191","595,515,333",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"636,435,103","2,955,000",,
10. Chi phí quản lý doanh nghiệp,26,,"9,149,894,772","5,025,853,623",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"29,112,910,332","19,291,240,110",,
12. Thu nhập khác,31,,"839,938,634","301,500",,
13. Chi phí khác,32,,"2,016,369,451","34,424,379",,
14. Lợi nhuận khác(40=31-32),40,,"-1,176,430,817","-34,122,879",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"27,936,479,515","19,257,117,231",,
16. Chi phí thuế TNDN hiện hành,51,,"5,682,381,194","3,904,606,198",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"22,254,098,321","15,352,511,033",,
19. Lợi nhuận sau thuế công ty mẹ,61,,"19,028,537,875","14,300,994,424",,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"3,225,560,446","1,051,516,609",,
21. Lãi cơ bản trên cổ phiếu(*),70,,"1,522","2,464",,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
