Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"352,214,810,739","341,856,374,398"
I. Tiền và các khoản tương đương tiền,110,,"11,043,320,686","3,024,779,884"
1. Tiền,111,,"932,377,261","3,024,779,884"
2. Các khoản tương đương tiền,112,,"10,110,943,425",0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,"678,528,878"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,"678,528,878"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"315,366,918,041","311,812,460,690"
1. Phải thu ngắn hạn của khách hàng,131,,"48,493,349,077","49,809,751,000"
2. Trả trước cho người bán ngắn hạn,132,,"149,729,210,010","165,271,186,861"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"123,836,050,057","108,467,573,452"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-6,691,691,103","-11,736,050,623"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"16,833,281,038","18,519,846,756"
1. Hàng tồn kho,141,,"19,567,650,927","22,079,638,754"
2. Dự phòng giảm giá hàng tồn kho,149,,"-2,734,369,889","-3,559,791,998"
V.Tài sản ngắn hạn khác,150,,"8,971,290,974","7,820,758,190"
1. Chi phí trả trước ngắn hạn,151,,0,"28,945,400"
2. Thuế GTGT được khấu trừ,152,,"8,140,072,794","7,791,812,790"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"831,218,180",0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"259,871,522,488","258,863,331,080"
I. Các khoản phải thu dài hạn,210,,"24,660,000,918","30,019,510,814"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"20,770,000,000","26,300,000,000"
6. Phải thu dài hạn khác,216,,"3,890,000,918","3,719,510,814"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"47,083,942,810","37,215,851,835"
1. Tài sản cố định hữu hình,221,,"47,029,961,793","37,152,073,940"
- Nguyên giá,222,,"66,222,265,349","55,154,633,827"
- Giá trị hao mòn lũy kế,223,,"-19,192,303,556","-18,002,559,887"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"53,981,017","63,777,895"
- Nguyên giá,228,,"86,500,000","86,500,000"
- Giá trị hao mòn lũy kế,229,,"-32,518,983","-22,722,105"
III. Bất động sản đầu tư,230,,"4,975,347,409","5,083,076,608"
- Nguyên giá,231,,"6,605,445,474","6,605,445,474"
- Giá trị hao mòn lũy kế,232,,"-1,630,098,065","-1,522,368,866"
IV. Tài sản dở dang dài hạn,240,,"152,485,252,773","153,117,837,001"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,"152,485,252,773","148,754,633,012"
2. Chi phí xây dựng cơ bản dở dang,242,,0,"4,363,203,989"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
