Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"103,756,586,713","84,049,130,343",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"103,756,586,713","84,049,130,343",,
4. Giá vốn hàng bán,11,,"88,551,857,705","64,655,589,678",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"15,204,729,008","19,393,540,665",,
6. Doanh thu hoạt động tài chính,21,,"1,797,491,061","152,684,680",,
7. Chi phí tài chính,22,,"1,687,375,924","1,411,868,511",,
- Trong đó: Chi phí lãi vay,23,,"1,687,245,189","1,411,683,212",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"287,755,559","106,439,499",,
10. Chi phí quản lý doanh nghiệp,26,,"4,758,342,909","4,840,584,430",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"10,268,745,677","13,187,332,905",,
12. Thu nhập khác,31,,"492,523","1,090,908",,
13. Chi phí khác,32,,"346,520,927","432,844,093",,
14. Lợi nhuận khác(40=31-32),40,,"-346,028,404","-431,753,185",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"9,922,717,273","12,755,579,720",,
16. Chi phí thuế TNDN hiện hành,51,,"1,984,543,454","2,685,079,398",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"7,938,173,819","10,070,500,322",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"6,975,648,305","8,124,270,980",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"962,525,514","1,946,229,342",,
21. Lãi cơ bản trên cổ phiếu(*),70,,558,650,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
