Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"595,399,511","483,932,303","3,468,996,218","69,138,094,030"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"595,399,511","483,932,303","3,468,996,218","69,138,094,030"
4. Giá vốn hàng bán,11,,"195,167,775","270,324,871","1,262,678,251","66,419,648,308"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"400,231,736","213,607,432","2,206,317,967","2,718,445,722"
6. Doanh thu hoạt động tài chính,21,,"1,156,226,757","53,772,352","2,602,490,482","3,062,893,230"
7. Chi phí tài chính,22,,0,"101,157,203","32,005,934","5,215,487,602"
- Trong đó: Chi phí lãi vay,23,,"-32,005,934","101,311,693",0,"5,215,487,602"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"189,698,827","285,900,045","780,399,370","939,678,319"
10. Chi phí quản lý doanh nghiệp,26,,"3,254,569,213","3,819,646,411","11,082,991,071","12,687,614,562"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-1,887,809,547","-3,939,323,875","-7,086,587,926","-13,061,441,531"
12. Thu nhập khác,31,,"180,000",0,"180,000","13,636,363,636"
13. Chi phí khác,32,,"10,000,000","60,026,400","68,721,673","12,813,157,899"
14. Lợi nhuận khác(40=31-32),40,,"-9,820,000","-60,026,400","-68,541,673","823,205,737"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-1,897,629,547","-3,999,350,275","-7,155,129,599","-12,238,235,794"
16. Chi phí thuế TNDN hiện hành,51,,0,0,0,0
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-1,897,629,547","-3,999,350,275","-7,155,129,599","-12,238,235,794"
19. Lợi nhuận sau thuế công ty mẹ,61,,"-1,869,271,840","-3,942,059,009","-7,092,171,027","-11,923,311,816"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-28,357,707","-57,291,265","-62,958,572","-314,923,978"
21. Lãi cơ bản trên cổ phiếu(*),70,,48,61,-28,-58
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
