Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,01,,"2,786,786,000,000","2,545,980,000,000"
2. Chi phí lãi và các chi phí tương tự đã trả,02,,"1,715,243,000,000","1,443,396,000,000"
3. Thu nhập từ hoạt động dịch vụ nhận được,03,,"81,312,000,000","78,608,000,000"
"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)",04,,"463,957,000,000","170,931,000,000"
5. Thu nhập khác,05,,"13,685,000,000","14,998,000,000"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",06,,"1,127,000,000","14,245,000,000"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)",07,,"798,782,000,000","689,151,000,000"
8. Tiền thuế thu nhập thực nộp trong kỳ(*),08,,"116,200,000,000","21,759,000,000"
B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,09,,"689,272,000,000","670,456,000,000"
Những thay đổi về tài sản hoạt động,,,,
9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,10,,"310,216,000,000","5,151,898,000,000"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11,,"251,776,000,000","120,685,000,000"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,12,,"35,550,000,000","1,790,000,000"
12. (Tăng)/Giảm các khoản cho vay khách hàng,13,,"1,446,698,000,000","4,919,120,000,000"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14,,"66,911,000,000","23,333,000,000"
14. (Tăng)/Giảm khác về tài sản hoạt động,15,,"767,555,000,000","1,019,084,000,000"
Những thay đổi về công nợ hoạt động,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,16,,0,"1,153,085,000,000"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17,,"590,364,000,000","369,559,000,000"
17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước),18,,"1,654,994,000,000","2,029,315,000,000"
18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),19,,0,0
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,,"872,526,000,000","8,485,000,000"
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21,,0,0
21. Tăng/(Giảm) khác về công nợ hoạt động,22,,"652,151,000,000","13,070,000,000"
22. Chi từ các quỹ của TCTD(*),23,,0,0
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,24,,"5,165,529,000,000","3,017,714,000,000"
Lưu chuyển tiền từ hoạt động đầu tư,,,,
1. Mua sắm tài sản cố định(*),25,,"78,521,000,000","22,879,000,000"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",26,,"23,000,000","10,000,000"
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*)",27,,0,0
4. Mua sắm bất động sản đầu tư(*),28,,0,0
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",29,,"29,000,000,000",0
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư(*)",30,,0,0
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác(Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác)(*)",31,,0,0
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác(Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",32,,0,0
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",33,,"11,020,000,000","1,414,000,000"
II. Lưu chuyển tiền thuần từ hoạt động đầu tư,34,,"38,478,000,000","21,455,000,000"
Lưu chuyển tiền từ hoạt động tài chính,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,35,,0,0
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,36,,0,"1,523,810,000,000"
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác(*),37,,0,0
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia(*)",38,,0,"202,107,000,000"
5. Tiền chi ra mua cổ phiếu ngân quỹ(*),39,,0,0
6. Tiền thu được do bán cổ phiếu ngân quỹ,40,,0,0
III.Lưu chuyển tiền thuần từ hoạt động tài chính,41,,0,"1,321,703,000,000"
IV.Lưu chuyển tiền thuần trong kỳ,42,,"5,127,051,000,000","4,317,962,000,000"
V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,43,,"13,205,894,000,000","6,301,096,000,000"
VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,44,,0,0
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,45,,"18,332,945,000,000","10,619,058,000,000"
