Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1.Thu nhập lãi và các khoản thu nhập tương tự,01,,"2,216,276,000,000","2,516,346,000,000","2,216,276,000,000","2,516,346,000,000"
2. Chi phí lãi và các chi phí tương tự,02,,"1,555,573,000,000","1,725,965,000,000","1,555,573,000,000","1,725,965,000,000"
I. Thu nhập lãi thuần,03,,"660,703,000,000","790,381,000,000","660,703,000,000","790,381,000,000"
3. Thu nhập từ hoạt động dịch vụ,04,,"265,436,000,000","341,327,000,000","265,436,000,000","341,327,000,000"
4. Chi phí hoạt động dịch vụ,05,,"161,252,000,000","207,348,000,000","161,252,000,000","207,348,000,000"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,06,,"104,184,000,000","133,979,000,000","104,184,000,000","133,979,000,000"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,07,,"116,894,000,000","234,842,000,000","116,894,000,000","234,842,000,000"
IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,08,,"4,128,000,000","2,226,000,000","4,128,000,000","2,226,000,000"
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,09,,"-45,579,000,000","90,812,000,000","-45,579,000,000","90,812,000,000"
5. Thu nhập từ hoạt động khác,10,,"42,588,000,000","18,288,000,000","42,588,000,000","18,288,000,000"
6. Chi phí hoạt động khác,11,,"5,850,000,000","9,955,000,000","5,850,000,000","9,955,000,000"
VI. Lãi/lỗ thuần từ hoạt động khác,12,,"36,738,000,000","8,333,000,000","36,738,000,000","8,333,000,000"
"VII. Thu nhập từ góp vốn, mua cổ phần",13,,"861,000,000","6,602,000,000","861,000,000","6,602,000,000"
VIII. Chi phí hoạt động,14,,"508,603,000,000","538,657,000,000","508,603,000,000","538,657,000,000"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,15,,"369,326,000,000","728,518,000,000","369,326,000,000","728,518,000,000"
X. Chi phí dự phòng rủi ro tín dụng,16,,"177,030,000,000","116,846,000,000","177,030,000,000","116,846,000,000"
XI. Tổng lợi nhuận trước thuế,17,,"192,296,000,000","611,672,000,000","192,296,000,000","611,672,000,000"
7. Chi phí thuế TNDN hiện hành,18,,"38,536,000,000","122,898,000,000","38,536,000,000","122,898,000,000"
8. Chi phí thuế TNDN hoãn lại,19,,0,0,0,0
XII. Chi phí thuế TNDN,20,,"38,536,000,000","122,898,000,000","38,536,000,000","122,898,000,000"
XIII. Lợi nhuận sau thuế,21,,"153,760,000,000","488,774,000,000","153,760,000,000","488,774,000,000"
XIV. Lợi ích của cổ đông thiểu số,22,,0,0,0,0
XV. Lãi cơ bản trên cổ phiếu,23,,0,0,0,0
