Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
A.TÀI SẢN,,,,
"I.Tiền mặt, vàng bạc, đá quý",110,,"480,493,000,000","503,043,000,000"
II.Tiền gửi tại Ngân hàng Nhà nước,120,,"2,163,203,000,000","3,167,848,000,000"
III. Tiền gửi và cho vay các tổ chức tín dụng khác,130,,"37,531,967,000,000","36,416,740,000,000"
1.Tiền gửi tại các tổ chức tín dụng khác,131,,"37,531,967,000,000","36,416,740,000,000"
2.Cho vay các tổ chức tín dụng khác,132,,0,0
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,139,,0,0
IV.Chứng khoán kinh doanh,140,,"188,903,000,000","871,942,000,000"
1.Chứng khoán kinh doanh,141,,"188,903,000,000","871,942,000,000"
2.Dự phòng giảm giá chứng khoán kinh doanh,149,,0,0
V.Các công cụ tài chính phái sinh và các tài sản tài chính khác,150,,0,0
VI.Cho vay khách hàng,160,,"91,508,601,000,000","97,739,376,000,000"
1.Cho vay khách hàng,161,,"92,947,807,000,000","99,072,189,000,000"
2.Dự phòng rủi ro cho vay khách hàng,169,,"-1,439,206,000,000","-1,332,813,000,000"
VII. Hoạt động mua nợ,180,,0,0
1. Mua nợ,181,,0,0
2. Dự phòng rủi ro hoạt động mua nợ,189,,0,0
VIII.Chứng khoán đầu tư,170,,"14,983,312,000,000","18,404,913,000,000"
1.Chứng khoán đầu tư sẵn sàng để bán,171,,"11,342,449,000,000","15,377,669,000,000"
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,172,,"4,205,242,000,000","3,275,068,000,000"
3.Dự phòng giảm giá chứng khoán đầu tư,179,,"-564,379,000,000","-247,824,000,000"
IX.Góp vốn đầu tư dài hạn,210,,"58,791,000,000","58,791,000,000"
1.Đầu tư vào công ty con,211,,0,0
2.Vốn góp liên doanh,212,,0,0
3.Đầu tư vào công ty liên kết,213,,0,0
4.Đầu tư dài hạn khác,214,,"58,791,000,000","58,791,000,000"
5.Dự phòng giảm giá đầu tư dài hạn,219,,0,0
X.Tài sản cố định,220,,"1,099,665,000,000","1,084,198,000,000"
1.Tài sản cố định hữu hình,221,,"585,358,000,000","561,529,000,000"
a.Nguyên giá tài sản cố định,222,,"1,315,306,000,000","1,274,387,000,000"
b.Hao mòn tài sản cố định,223,,"-729,948,000,000","-712,858,000,000"
2.Tài sản cố định thuê tài chính,224,,0,0
a.Nguyên giá tài sản cố định,225,,0,0
b.Hao mòn tài sản cố định,226,,0,0
3.Tài sản cố định vô hình,227,,"514,307,000,000","522,669,000,000"
a.Nguyên giá tài sản cố định,228,,"881,299,000,000","869,407,000,000"
b.Hao mòn tài sản cố định,229,,"-366,992,000,000","-346,738,000,000"
XI. Bất động sản đầu tư,240,,"65,618,000,000","66,242,000,000"
a.Nguyên giá bất động sản đầu tư,241,,"74,029,000,000","74,030,000,000"
b.Hao mòn bất động sản đầu tư,242,,"-8,411,000,000","-7,788,000,000"
XII.Tài sản có khác,250,,"4,064,959,000,000","3,786,080,000,000"
1.Các khoản phải thu,251,,"1,222,494,000,000","1,284,953,000,000"
2.Các khoản lãi và chi phí phải thu,252,,"1,794,815,000,000","1,455,147,000,000"
3.Tài sản thuế TNDN hoãn lại,253,,0,0
4.Tài sản có khác,254,,"1,296,870,000,000","1,284,089,000,000"
- Trong đó lợi thế thương mại,255,,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,259,,"-249,220,000,000","-238,109,000,000"
TỔNG TÀI SẢN CÓ,300,,"152,145,512,000,000","162,099,173,000,000"
B.NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,310,,0,0
II.Tiền gửi và vay các tổ chức tín dụng khác,320,,"34,345,482,000,000","29,041,487,000,000"
1.Tiền gửi của các tổ chức tín dụng khác,321,,"32,993,471,000,000","27,446,777,000,000"
2.Vay các tổ chức tín dụng khác,322,,"1,352,011,000,000","1,594,710,000,000"
III.Tiền gửi của khách hàng,330,,"85,515,818,000,000","100,034,291,000,000"
IV.Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,340,,"771,389,000,000","265,268,000,000"
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",350,,"16,573,000,000","26,613,000,000"
VI.Phát hành giấy tờ có giá,360,,"15,200,000,000,000","15,600,000,000,000"
VII.Các khoản nợ khác,370,,"2,838,581,000,000","3,652,297,000,000"
"1.Các khoản lãi, phí phải trả",371,,"2,003,231,000,000","3,138,846,000,000"
2.Thuế thu nhập doanh nghiệp hoãn lại phải trả,372,,0,0
3.Các khoản phải trả và công nợ khác,373,,"835,350,000,000","513,451,000,000"
4.Dự phòng rủi ro khác (công nợ tiềm ẩn và các cam kết ngoại bảng),379,,0,0
TỔNG NỢ PHẢI TRẢ,400,,"138,687,843,000,000","148,619,956,000,000"
VIII.Vốn chủ sở hữu,500,,"13,457,669,000,000","13,479,217,000,000"
1.Vốn của tổ chức tín dụng,410,,"10,385,641,000,000","10,385,641,000,000"
a.Vốn điều lệ,411,,"10,350,368,000,000","10,350,368,000,000"
b.Vốn đầu tư XDCB,412,,"994,000,000","994,000,000"
c.Thặng dư vốn cổ phần,413,,"34,279,000,000","34,279,000,000"
d.Cổ phiếu quỹ,414,,0,0
e.Cổ phiếu ưu đãi,415,,0,0
g.Vốn khác,416,,0,0
2.Quỹ của Tổ chức tín dụng,420,,"1,150,399,000,000","1,150,399,000,000"
3.Chênh lệch tỷ giá hối đoái,430,,"-446,745,000,000",0
4.Chênh lệch đánh giá lại tài sản,440,,0,0
5.Lợi nhuận để lại chưa phân phối/Lỗ lũy kế,450,,"2,368,374,000,000","1,943,177,000,000"
IX.Lợi ích của cổ đông thiểu số,700,,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,800,,"152,145,512,000,000","162,099,173,000,000"
CÁC CHỈ TIÊU NGOÀI BẢNG,,,,
I.Nghĩa vụ nợ tiềm ẩn,910,,"6,223,141,000,000","5,976,516,000,000"
1.Bảo lãnh vay vốn,911,,0,0
2.Cam kết trong nghiệp vụ L/C,912,,"1,036,445,000,000","732,858,000,000"
3.Bảo lãnh khác,913,,"5,186,696,000,000","5,243,658,000,000"
II.Các cam kết đưa ra,920,,0,0
1.Cam kết tài trợ cho khách hàng,921,,0,0
2.Cam kết khác,922,,0,0
