Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
A.TÀI SẢN,,,,
"I.Tiền mặt, vàng bạc, đá quý",110,,"776,649,803,453","757,146,175,018"
II.Tiền gửi tại Ngân hàng Nhà nước,120,,"1,282,717,801,009","6,802,645,255,105"
III. Tiền gửi và cho vay các tổ chức tín dụng khác,130,,"15,213,395,504,587","17,854,551,339,516"
1.Tiền gửi tại các tổ chức tín dụng khác,131,,"10,571,306,104,587","9,706,163,999,516"
2.Cho vay các tổ chức tín dụng khác,132,,"4,642,089,400,000","8,148,387,340,000"
3.Dự phòng rủi ro cho vay các tổ chức tín dụng khác,139,,0,0
IV.Chứng khoán kinh doanh,140,,0,0
1.Chứng khoán kinh doanh,141,,0,0
2.Dự phòng giảm giá chứng khoán kinh doanh,149,,0,0
V.Các công cụ tài chính phái sinh và các tài sản tài chính khác,150,,"113,515,586,594","49,811,604,251"
VI.Cho vay khách hàng,160,,"56,683,558,627,316","56,070,111,659,949"
1.Cho vay khách hàng,161,,"57,333,806,668,870","56,802,965,233,819"
2.Dự phòng rủi ro cho vay khách hàng,169,,"650,248,041,554","732,853,573,870"
VII. Hoạt động mua nợ,180,,0,0
1. Mua nợ,181,,0,0
2. Dự phòng rủi ro hoạt động mua nợ,189,,0,0
VIII.Chứng khoán đầu tư,170,,"16,720,056,595,922","16,472,166,039,877"
1.Chứng khoán đầu tư sẵn sàng để bán,171,,"14,820,856,044,930","15,009,949,378,522"
2.Chứng khoán đầu tư giữ đến ngày đáo hạn,172,,"2,384,377,057,437","1,867,537,978,817"
3.Dự phòng giảm giá chứng khoán đầu tư,179,,"485,176,506,445","405,321,317,462"
IX.Góp vốn đầu tư dài hạn,210,,"268,791,040,000","268,791,040,000"
1.Đầu tư vào công ty con,211,,0,0
2.Vốn góp liên doanh,212,,0,0
3.Đầu tư vào công ty liên kết,213,,0,0
4.Đầu tư dài hạn khác,214,,"268,791,040,000","268,791,040,000"
5.Dự phòng giảm giá đầu tư dài hạn,219,,0,0
X.Tài sản cố định,220,,"938,701,721,154","950,240,976,867"
1.Tài sản cố định hữu hình,221,,"569,376,129,647","574,357,573,584"
a.Nguyên giá tài sản cố định,222,,"1,101,645,257,789","1,078,447,674,790"
b.Hao mòn tài sản cố định,223,,"532,269,128,142","504,090,101,206"
2.Tài sản cố định thuê tài chính,224,,0,0
a.Nguyên giá tài sản cố định,225,,0,0
b.Hao mòn tài sản cố định,226,,0,0
3.Tài sản cố định vô hình,227,,"369,325,591,507","375,883,403,283"
a.Nguyên giá tài sản cố định,228,,"602,710,135,445","595,195,581,345"
b.Hao mòn tài sản cố định,229,,"233,384,543,938","219,312,178,062"
XI. Bất động sản đầu tư,240,,"70,602,683,790","71,225,703,204"
a.Nguyên giá bất động sản đầu tư,241,,"74,029,290,567","74,029,290,567"
b.Hao mòn bất động sản đầu tư,242,,"3,426,606,777","2,803,587,363"
XII.Tài sản có khác,250,,"3,343,024,859,713","3,108,477,396,183"
1.Các khoản phải thu,251,,"1,366,120,082,960","1,038,951,722,735"
2.Các khoản lãi và chi phí phải thu,252,,"776,349,791,609","855,727,117,216"
3.Tài sản thuế TNDN hoãn lại,253,,0,0
4.Tài sản có khác,254,,"1,453,072,267,754","1,389,568,946,970"
- Trong đó lợi thế thương mại,255,,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,259,,"252,517,282,610","175,770,390,738"
TỔNG TÀI SẢN CÓ,300,,"95,411,014,223,538","102,405,167,189,970"
B.NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,310,,0,0
II.Tiền gửi và vay các tổ chức tín dụng khác,320,,"12,267,984,131,660","16,734,947,803,936"
1.Tiền gửi của các tổ chức tín dụng khác,321,,"10,022,768,450,860","8,465,970,733,136"
2.Vay các tổ chức tín dụng khác,322,,"2,245,215,680,800","8,268,977,070,800"
III.Tiền gửi của khách hàng,330,,"69,903,886,321,681","69,574,329,658,029"
IV.Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,340,,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",350,,"1,139,023,711,094","1,161,949,574,950"
VI.Phát hành giấy tờ có giá,360,,"1,411,950,000,000","5,191,040,000,000"
VII.Các khoản nợ khác,370,,"2,617,356,599,588","2,051,878,075,722"
"1.Các khoản lãi, phí phải trả",371,,"1,659,180,249,013","1,545,671,560,041"
2.Thuế thu nhập doanh nghiệp hoãn lại phải trả,372,,0,0
3.Các khoản phải trả và công nợ khác,373,,"958,176,350,575","506,206,515,681"
4.Dự phòng rủi ro khác (công nợ tiềm ẩn và các cam kết ngoại bảng),379,,0,0
TỔNG NỢ PHẢI TRẢ,400,,"87,340,200,764,023","94,714,145,112,637"
VIII.Vốn chủ sở hữu,500,,"8,222,898,576,703","7,842,778,835,146"
