Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"74,237,949,273","65,610,069,337","195,735,305,510","215,801,864,322"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"74,237,949,273","65,610,069,337","195,735,305,510","215,801,864,322"
4. Giá vốn hàng bán,11,,"60,257,740,261","57,246,594,086","161,980,092,441","171,651,942,476"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"13,980,209,012","8,363,475,251","33,755,213,069","44,149,921,846"
6. Doanh thu hoạt động tài chính,21,,"4,038,127","83,608,635","8,890,729","2,529,300,359"
7. Chi phí tài chính,22,,"2,104,982,784","1,005,864,221","6,583,202,360","2,974,323,134"
- Trong đó: Chi phí lãi vay,23,,"2,104,982,784","1,005,864,221","6,583,202,360","1,693,028,604"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"175,762,408","57,089,763","773,469,928","473,364,953"
10. Chi phí quản lý doanh nghiệp,26,,"3,184,600,650","3,658,275,499","9,741,120,673","14,523,904,034"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"8,518,901,297","3,725,854,403","16,666,310,837","28,707,630,084"
12. Thu nhập khác,31,,"72,984,047","3,005,600,255","184,439,147","3,116,094,930"
13. Chi phí khác,32,,"30,395,618","2,324,167,434","1,312,435,702","2,324,223,782"
14. Lợi nhuận khác(40=31-32),40,,"42,588,429","681,432,821","-1,127,996,555","791,871,148"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"8,561,489,726","4,407,287,224","15,538,314,282","29,499,501,232"
16. Chi phí thuế TNDN hiện hành,51,,"1,506,170,302","339,546,542","2,588,693,985","2,240,137,367"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"7,055,319,424","4,067,740,682","12,949,620,297","27,259,363,865"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
