Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"15,538,314,282","29,499,501,232"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"24,599,943,362","22,372,240,974"
- Các khoản dự phòng,03,,"-45,929,618","3,080,171,000"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,"-1,235,949,722"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"1,273,149,354","-1,116,797,782"
- Chi phí lãi vay,06,,"6,583,202,360","1,693,028,604"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"47,948,679,740","54,292,194,306"
"- Tăng, giảm các khoản phải thu",09,,"3,467,504,265","8,841,343,036"
"- Tăng, giảm hàng tồn kho",10,,"5,211,531,183","597,935,086"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-24,950,071,171","-14,543,539,035"
"- Tăng, giảm chi phí trả trước",12,,"-5,428,721,450","3,117,857,514"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-6,556,082,465","-1,684,954,039"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-2,329,825,704","-3,469,174,168"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-3,203,930,467","-4,875,358,010"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"14,159,083,931","42,276,304,690"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-10,046,229,382","-128,924,569,312"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"2,890,000,000","10,260,000,000"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"8,890,729","475,949,664"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-7,147,338,653","-118,188,619,648"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"245,348,057,831","321,177,361,536"
4.Tiền chi trả nợ gốc vay,34,,"-234,744,511,419","-245,873,946,794"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-18,028,296,000","-36,036,000,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-7,424,749,588","39,267,414,742"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-413,004,310","-36,644,900,216"
Tiền và tương đương tiền đầu kỳ,60,,"1,838,430,336","42,021,763,845"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"1,425,426,026","5,376,863,629"
