Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"92,842,090,123","80,787,078,662","296,068,525,474","321,031,322,542"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"92,842,090,123","80,787,078,662","296,068,525,474","321,031,322,542"
4. Giá vốn hàng bán,11,,"67,352,155,120","66,634,923,260","231,833,550,225","262,971,221,408"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"25,489,935,003","14,152,155,402","64,234,975,249","58,060,101,134"
6. Doanh thu hoạt động tài chính,21,,"173,186,404","114,285,104","366,024,772","609,406,017"
7. Chi phí tài chính,22,,"198,771,740","-631,275,837","828,950,523","407,262,597"
- Trong đó: Chi phí lãi vay,23,,"123,871,049","-631,453,861","742,475,192","395,266,384"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,,"3,533,601,262","2,477,127,967","10,308,586,785"
10. Chi phí quản lý doanh nghiệp,26,,"3,952,738,804","1,722,372,538","12,033,589,628","5,409,887,194"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"21,511,610,863","9,641,742,543","49,261,331,903","42,543,770,575"
12. Thu nhập khác,31,,"307,208,693","57,969,933","355,956,708","159,749,685"
13. Chi phí khác,32,,"150,566,280","7,070,708","466,132,560","13,050,269"
14. Lợi nhuận khác(40=31-32),40,,"156,642,413","50,899,225","-110,175,852","146,699,416"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"21,668,253,276","9,692,641,768","49,151,156,051","42,690,469,991"
16. Chi phí thuế TNDN hiện hành,51,,"2,009,737,444","1,184,910,770","4,485,561,049","3,741,417,519"
17. Chi phí thuế TNDN hoãn lại,52,,,"-408,022,092",,"-408,022,092"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"19,658,515,832","8,915,753,090","44,665,595,002","39,357,074,564"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
