Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"34,325,540,621","42,196,104,310","34,325,540,621","42,196,104,310"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"34,325,540,621","42,196,104,310","34,325,540,621","42,196,104,310"
4. Giá vốn hàng bán,11,,"30,635,733,779","40,579,086,618","30,635,733,779","40,579,086,618"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"3,689,806,842","1,617,017,692","3,689,806,842","1,617,017,692"
6. Doanh thu hoạt động tài chính,21,,"53,128,240","4,838,162","53,128,240","4,838,162"
7. Chi phí tài chính,22,,"673,039,050","1,312,233,684","673,039,050","1,312,233,684"
- Trong đó: Chi phí lãi vay,23,,"673,039,050","1,312,233,684","673,039,050","1,312,233,684"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"215,719,840","332,445,182","215,719,840","332,445,182"
10. Chi phí quản lý doanh nghiệp,26,,"2,434,111,909","2,731,261,738","2,434,111,909","2,731,261,738"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"420,064,283","-2,754,084,750","420,064,283","-2,754,084,750"
12. Thu nhập khác,31,,"29,745,938","21,767,470","29,745,938","21,767,470"
13. Chi phí khác,32,,0,"1,196,667",0,"1,196,667"
14. Lợi nhuận khác(40=31-32),40,,"29,745,938","20,570,803","29,745,938","20,570,803"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"449,810,221","-2,733,513,947","449,810,221","-2,733,513,947"
16. Chi phí thuế TNDN hiện hành,51,,0,0,0,0
17. Chi phí thuế TNDN hoãn lại,52,,"52,179,114",0,"52,179,114",0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"397,631,107","-2,733,513,947","397,631,107","-2,733,513,947"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
