Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"53,064,500,806","44,642,390,414","87,390,041,427","86,838,494,724"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"53,064,500,806","44,642,390,414","87,390,041,427","86,838,494,724"
4. Giá vốn hàng bán,11,,"42,451,947,164","40,965,874,419","73,087,680,943","81,544,961,037"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"10,612,553,642","3,676,515,995","14,302,360,484","5,293,533,687"
6. Doanh thu hoạt động tài chính,21,,"15,664,842","193,865","68,793,082","5,032,027"
7. Chi phí tài chính,22,,"488,084,743","1,057,144,803","1,161,123,793","2,369,378,487"
- Trong đó: Chi phí lãi vay,23,,"488,084,743","1,057,144,803","1,161,123,793","2,369,378,487"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"104,468,832","107,914,108","320,188,672","440,359,290"
10. Chi phí quản lý doanh nghiệp,26,,"2,563,963,700","2,679,155,527","4,998,075,609","5,410,417,265"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"7,471,701,209","-167,504,578","7,891,765,492","-2,921,589,328"
12. Thu nhập khác,31,,"40,606,131","50,366,488","70,352,069","72,133,958"
13. Chi phí khác,32,,"15,260,843","8,127,205","15,260,843","9,323,872"
14. Lợi nhuận khác(40=31-32),40,,"25,345,288","42,239,283","55,091,226","62,810,086"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"7,497,046,497","-125,265,295","7,946,856,718","-2,858,779,242"
16. Chi phí thuế TNDN hiện hành,51,,"1,212,886,646",0,"1,212,886,646",0
17. Chi phí thuế TNDN hoãn lại,52,,"-11,146,039",0,"41,033,075",0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"6,295,305,890","-125,265,295","6,692,936,997","-2,858,779,242"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
