Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"31,911,837,394","52,034,454,765"
I. Tiền và các khoản tương đương tiền,110,,"6,006,497,441","33,165,234,078"
1. Tiền,111,,"456,497,441","365,234,078"
2. Các khoản tương đương tiền,112,,"5,550,000,000","32,800,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"2,759,056,972","1,905,023,143"
1. Phải thu ngắn hạn của khách hàng,131,,"4,819,934,220","4,394,648,215"
2. Trả trước cho người bán ngắn hạn,132,,"702,035,769","434,271,662"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"317,257,983","156,274,266"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-3,080,171,000","-3,080,171,000"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"23,045,907,680","16,619,487,633"
1. Hàng tồn kho,141,,"23,348,638,279","16,925,347,870"
2. Dự phòng giảm giá hàng tồn kho,149,,"-302,730,599","-305,860,237"
V.Tài sản ngắn hạn khác,150,,"100,375,301","344,709,911"
1. Chi phí trả trước ngắn hạn,151,,"100,375,301","344,709,911"
2. Thuế GTGT được khấu trừ,152,,0,0
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"216,618,108,702","234,894,061,410"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"214,577,000,680","230,343,535,068"
1. Tài sản cố định hữu hình,221,,"214,547,429,706","230,296,795,681"
- Nguyên giá,222,,"488,144,036,879","488,139,845,502"
- Giá trị hao mòn lũy kế,223,,"-273,596,607,173","-257,843,049,821"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"29,570,974","46,739,387"
- Nguyên giá,228,,"211,446,165","336,516,165"
- Giá trị hao mòn lũy kế,229,,"-181,875,191","-289,776,778"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"2,041,108,022","4,550,526,342"
1. Chi phí trả trước dài hạn,261,,"2,041,108,022","4,550,526,342"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"248,529,946,096","286,928,516,175"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"53,629,488,006","98,009,425,584"
I. Nợ ngắn hạn,310,,"43,574,796,519","74,484,567,447"
1. Phải trả người bán ngắn hạn,311,,"2,463,731,853","2,663,910,243"
2. Người mua trả tiền trước ngắn hạn,312,,0,0
3. Thuế và các khoản phải nộp nhà nước,313,,"27,036,709,404","50,407,906,609"
4. Phải trả người lao động,314,,"2,415,615,014","2,265,348,457"
5. Chi phí phải trả ngắn hạn,315,,"1,989,555,644","331,029,937"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"345,454,546","138,181,819"
9. Phải trả ngắn hạn khác,319,,"264,720,300","261,323,830"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"9,043,226,794","18,396,983,588"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"15,782,964","19,882,964"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"10,054,691,487","23,524,858,137"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,"9,043,226,802","22,608,066,993"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"1,011,464,685","916,791,144"
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"194,900,458,090","188,919,090,591"
I. Vốn chủ sở hữu,410,,"194,900,458,090","188,919,090,591"
1. Vốn góp của chủ sở hữu,411,,"120,120,000,000","120,120,000,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"120,120,000,000","120,120,000,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
