Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"7,207,418,753","-6,497,810,728"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"15,804,794,388","25,330,140,899"
- Các khoản dự phòng,03,,"-3,129,638",0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-115,958,258","-8,012,101"
- Chi phí lãi vay,06,,"1,560,860,309","3,501,640,875"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"24,453,985,554","22,325,958,945"
"- Tăng, giảm các khoản phải thu",09,,"-854,033,829","983,056,252"
"- Tăng, giảm hàng tồn kho",10,,"-6,423,290,409","1,911,178,466"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-22,638,704,166","-26,008,568,926"
"- Tăng, giảm chi phí trả trước",12,,"2,753,752,930","3,908,144,020"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-1,580,988,561","-3,548,639,742"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-24,459,429","-712,302,076"
- Tiền thu khác từ hoạt động kinh doanh,16,,"900,000",0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-5,000,000","-105,700,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-4,317,837,910","-1,246,873,061"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-38,260,000","-779,650,224"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"42,130",0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"115,916,128","8,012,101"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"77,698,258","-771,638,123"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"171,785,309,211","187,052,965,749"
4.Tiền chi trả nợ gốc vay,34,,"-194,703,906,196","-183,800,652,240"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-22,918,596,985","3,252,313,509"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-27,158,736,637","1,233,802,325"
Tiền và tương đương tiền đầu kỳ,60,,"33,165,234,078","3,166,605,450"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"6,006,497,441","4,400,407,775"
