Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"7,160,190,649","7,946,856,718"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"10,454,491,013","10,563,325,664"
- Các khoản dự phòng,03,,0,"-176,000"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-222,050,140","-68,835,212"
- Chi phí lãi vay,06,,"664,665,115","1,161,123,793"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"18,057,296,637","19,602,294,963"
"- Tăng, giảm các khoản phải thu",09,,"3,282,516,026","-2,258,186,958"
"- Tăng, giảm hàng tồn kho",10,,"4,972,522,809","-4,983,291,640"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-27,013,911,415","-24,577,167,986"
"- Tăng, giảm chi phí trả trước",12,,"530,602,015","2,267,359,599"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-646,025,710","-1,181,276,821"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-1,586,951,690","-24,459,429"
- Tiền thu khác từ hoạt động kinh doanh,16,,"900,000","900,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-349,500,000","-5,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-2,752,551,328","-11,158,828,272"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-237,875,225",0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"42,130"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"222,050,140","68,793,082"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-15,825,085","68,835,212"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"122,710,848,113","138,438,309,211"
4.Tiền chi trả nợ gốc vay,34,,"-114,227,125,694","-156,524,762,799"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-6,002,568,000",0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"2,481,154,419","-18,086,453,588"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-287,221,994","-29,176,446,648"
Tiền và tương đương tiền đầu kỳ,60,,"29,300,720,317","33,165,234,078"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"29,013,498,323","3,988,787,430"
