Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"21,801,889,540","45,588,428,062"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"32,902,114,269","29,968,264,382"
- Các khoản dự phòng,03,,"-47,039,428","3,904,560,936"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"1,287,475,287","-10,955,215,424"
- Chi phí lãi vay,06,,"8,627,399,596","3,736,751,429"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"64,571,839,264","72,242,789,385"
"- Tăng, giảm các khoản phải thu",09,,"1,465,751,921","13,826,658,606"
"- Tăng, giảm hàng tồn kho",10,,"3,452,567,320","-2,198,368,822"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"2,202,548,580","11,166,784,041"
"- Tăng, giảm chi phí trả trước",12,,"-7,677,716,783","2,290,275,847"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-8,646,281,748","-3,638,706,825"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-3,534,761,946","-3,808,720,710"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-2,074,668,467","-5,458,639,010"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"49,759,278,141","84,422,072,512"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-10,690,293,620","-167,239,171,629"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"2,894,363,636","20,640,000,000"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"13,484,212","477,588,263"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-7,782,445,772","-146,121,583,366"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"296,600,921,858","395,539,441,536"
4.Tiền trả nợ gốc vay,34,,"-309,261,511,419","-325,985,560,191"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-18,028,296,000","-48,037,704,000"
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-30,688,885,561","21,516,177,345"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"11,287,946,808","-40,183,333,509"
Tiền và tương đương tiền đầu kỳ,60,,"1,838,430,336","42,021,763,845"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"13,126,377,144","1,838,430,336"
